team_name,player_name,ipl_team,buy_price,base_price
India,Gautam Gambhir,Kolkata Knight Riders,"$2,400,000","$200,000"
India,Yusuf Pathan,Kolkata Knight Riders,"$2,100,000","$300,000"
India,Robin Uthappa,Pune Warriors India,"$2,100,000","$200,000"
India,Rohit Sharma,Mumbai Indians,"$2,000,000","$200,000"
India,Irfan Pathan,Delhi Daredevils,"$1,900,000","$200,000"
India,Yuvraj Singh,Pune Warriors India,"$1,800,000","$400,000"
India,Saurabh Tiwary,Mumbai Indians,"$1,600,000","$100,000"
Sri Lanka,Mahela Jayawardene,Kings XI Punjab,"$1,500,000","$400,000"
Australia,David Hussey,Kolkata Knight Riders,"$1,400,000","$200,000"
South Africa,Dale Steyn,Deccan Chargers,"$1,200,000","$200,000"
Sri Lanka,Muttiah Muralitharan,Chennai Super Kings,"$1,100,000","$300,000"
Australia,Cameron White,Royal Challengers Bangalore,"$1,100,000","$300,000"
South Africa,Jacques Kallis,Royal Challengers Bangalore,"$1,100,000","$300,000"
South Africa,AB de Villiers,Delhi Daredevils,"$1,100,000","$400,000"
New Zealand,Ross Taylor,Royal Challengers Bangalore,"$1,000,000","$400,000"
Sri Lanka,Angelo Mathews,Kolkata Knight Riders,"$950,000","$300,000"
India,Ravindra Jadeja,Kochi Tuskers Kerala,"$950,000","$100,000"
South Africa,Johan Botha,Rajasthan Royals,"$950,000","$200,000"
India,Dinesh Karthik,Delhi Daredevils,"$900,000","$200,000"
India,Piyush Chawla,Kings XI Punjab,"$900,000","$100,000"
India,Sreesanth,Kochi Tuskers Kerala,"$900,000","$200,000"
Australia,Adam Gilchrist,Deccan Chargers,"$900,000","$400,000"
India,Zaheer Khan,Mumbai Indians,"$900,000","$300,000"
Australia,Dan Christian,Deccan Chargers,"$900,000","$50,000"
India,Ravichandran Ashwin,Chennai Super Kings,"$850,000","$100,000"
India,Ashish Nehra,Pune Warriors India,"$850,000","$200,000"
Australia,Andrew Symonds,Deccan Chargers,"$850,000","$300,000"
India,Subramaniam Badrinath,Chennai Super Kings,"$800,000","$100,000"
India,Praveen Kumar,Royal Challengers Bangalore,"$800,000","$200,000"
Australia,David Warner,Delhi Daredevils,"$750,000","$200,000"
India,Umesh Yadav,Delhi Daredevils,"$750,000","$50,000"
India,Munaf Patel,Mumbai Indians,"$700,000","$100,000"
Sri Lanka,Kumar Sangakkara,Deccan Chargers,"$700,000","$300,000"
India,Cheteshwar Pujara,Royal Challengers Bangalore,"$700,000","$100,000"
Australia,Doug Bollinger,Chennai Super Kings,"$700,000","$200,000"
Australia,Dirk Nannes,Royal Challengers Bangalore,"$650,000","$200,000"
Sri Lanka,Tillakaratne Dilshan,Royal Challengers Bangalore,"$650,000","$400,000"
England,Kevin Pietersen,Deccan Chargers,"$650,000","$400,000"
New Zealand,Daniel Vettori,Royal Challengers Bangalore,"$550,000","$400,000"
India,Pragyan Ojha,Deccan Chargers,"$500,000","$200,000"
India,Rahul Dravid,Rajasthan Royals,"$500,000","$400,000"
South Africa,Graeme Smith,Pune Warriors India,"$500,000","$400,000"
India,RP Singh,Kochi Tuskers Kerala,"$500,000","$200,000"
India,Lakshmipathy Balaji,Kolkata Knight Riders,"$500,000","$100,000"
India,Manoj Tiwary,Kolkata Knight Riders,"$475,000","$100,000"
South Africa,Morné Morkel,Delhi Daredevils,"$475,000","$100,000"
New Zealand,Brendon McCullum,Kochi Tuskers Kerala,"$475,000","$400,000"
India,Vinay Kumar,Kochi Tuskers Kerala,"$475,000","$100,000"
India,Ishant Sharma,Deccan Chargers,"$450,000","$200,000"
Australia,Brad Hodge,Kochi Tuskers Kerala,"$425,000","$200,000"
Bangladesh,Shakib Al Hasan,Kolkata Knight Riders,"$425,000","$200,000"
Australia,Michael Hussey,Chennai Super Kings,"$425,000","$200,000"
Australia,Brett Lee,Kolkata Knight Riders,"$400,000","$400,000"
Australia,Shaun Marsh,Kings XI Punjab,"$400,000","$400,000"
England,Stuart Broad,Kings XI Punjab,"$400,000","$400,000"
India,VVS Laxman,Kochi Tuskers Kerala,"$400,000","$300,000"
India,Murali Kartik,Pune Warriors India,"$400,000","$200,000"
India,Ashok Dinda,Delhi Daredevils,"$375,000","$100,000"
England,Eoin Morgan,Kolkata Knight Riders,"$350,000","$200,000"
Australia,James Hopes,Delhi Daredevils,"$350,000","$200,000"
Australia,Ryan Harris,Kings XI Punjab,"$325,000","$200,000"
Australia,Brad Haddin,Kolkata Knight Riders,"$325,000","$200,000"
Australia,Callum Ferguson,Pune Warriors India,"$300,000","$200,000"
Australia,Aaron Finch,Delhi Daredevils,"$300,000","$100,000"
India,Amit Mishra,Deccan Chargers,"$300,000","$100,000"
India,Shikhar Dhawan,Deccan Chargers,"$300,000","$100,000"
South Africa,JP Duminy,Deccan Chargers,"$300,000","$200,000"
Australia,Shaun Tait,Rajasthan Royals,"$300,000","$300,000"
India,Parthiv Patel,Kochi Tuskers Kerala,"$290,000","$100,000"
Australia,Mitchell Marsh,Pune Warriors India,"$290,000","$100,000"
India,Manpreet Gony,Deccan Chargers,"$290,000","$50,000"
India,Naman Ojha,Delhi Daredevils,"$270,000","$100,000"
Australia,Tim Paine,Pune Warriors India,"$270,000","$100,000"
India,Abhimanyu Mithun,Royal Challengers Bangalore,"$260,000","$100,000"
India,Jaydev Unadkat,Kolkata Knight Riders,"$250,000","$50,000"
England,Paul Collingwood,Rajasthan Royals,"$250,000","$200,000"
India,Sudeep Tyagi,Chennai Super Kings,"$240,000","$50,000"
India,Ajit Agarkar,Delhi Daredevils,"$210,000","$100,000"
Australia,Steven Smith,Kochi Tuskers Kerala,"$200,000","$200,000"
Trinidad and Tobago,Dwayne Bravo,Chennai Super Kings,"$200,000","$200,000"
England,Owais Shah,Kochi Tuskers Kerala,"$200,000","$200,000"
New Zealand,Scott Styris,Chennai Super Kings,"$200,000","$100,000"
India,Ramesh Powar,Kochi Tuskers Kerala,"$180,000","$100,000"
South Africa,Wayne Parnell,Pune Warriors India,"$160,000","$100,000"
Netherlands,Ryan ten Doeschate,Kolkata Knight Riders,"$150,000","$50,000"
New Zealand,Jesse Ryder,Pune Warriors India,"$150,000","$100,000"
India,Joginder Sharma,Chennai Super Kings,"$150,000","$100,000"
South Africa,Charl Langeveldt,Royal Challengers Bangalore,"$140,000","$100,000"
India,Mohammad Kaif,Royal Challengers Bangalore,"$130,000","$100,000"
South Africa,Francois du Plessis,Chennai Super Kings,"$120,000","$20,000"
Australia,Clint McKay,Mumbai Indians,"$110,000","$100,000"
New Zealand,Nathan McCullum,Pune Warriors India,"$100,000","$100,000"
New Zealand,James Franklin,Mumbai Indians,"$100,000","$100,000"
Jamaica,Jerome Taylor,Pune Warriors India,"$100,000","$100,000"
Australia,James Pattinson,Kolkata Knight Riders,"$100,000","$100,000"
South Africa,Alfonso Thomas,Pune Warriors India,"$100,000","$50,000"
Sri Lanka,Nuwan Kulasekara,Chennai Super Kings,"$100,000","$100,000"
Australia,Matthew Wade,Delhi Daredevils,"$100,000","$100,000"
England,Dimitri Mascarenhas,Kings XI Punjab,"$100,000","$100,000"
South Africa,Colin Ingram,Delhi Daredevils,"$100,000","$100,000"
Australia,Ben Hilfenhaus,Chennai Super Kings,"$100,000","$100,000"
India,Pankaj Singh,Rajasthan Royals,"$95,000","$50,000"
South Africa,Rusty Theron,Deccan Chargers,"$85,000","$50,000"
Sri Lanka,Suraj Randiv,Chennai Super Kings,"$80,000","$50,000"
Australia,John Hastings,Kochi Tuskers Kerala,"$20,000","$20,000"
Australia,Andrew McDonald,Delhi Daredevils,"$80,000","$50,000"
England,Michael Lumb,Deccan Chargers,"$80,000","$50,000"
Australia,Michael Klinger,Kochi Tuskers Kerala,"$75,000","$20,000"
Australia,Moises Henriques,Mumbai Indians,"$50,000","$50,000"
Australia,George Bailey,Chennai Super Kings,"$50,000","$50,000"
South Africa,Roelof van der Merwe,Delhi Daredevils,"$50,000","$50,000"
South Africa,Rilee Rossouw,Royal Challengers Bangalore,"$20,000","$20,000"
Sri Lanka,Nuwan Pradeep,Royal Challengers Bangalore,"$20,000","$20,000"
Australia,Travis Birt,Delhi Daredevils,"$20,000","$20,000"
Australia,Nathan Rimmington,Kings XI Punjab,"$20,000","$20,000"
South Africa,Jonathan Vandiar,Royal Challengers Bangalore,"$20,000","$20,000"
Australia,Aiden Blizzard,Mumbai Indians,"$20,000","$20,000"
South Africa,Robert Frylinck,Delhi Daredevils,"$20,000","$20,000"
Australia,Stephen O'Keefe,Kochi Tuskers Kerala,"$20,000","$20,000"
