team_name,player_name,ipl_team,base_price,buy_price
Guyana,Christopher Barnwell,Mumbai Indians,"$50,000","$50,000"
South Africa,Johan Botha,Sunrisers Hyderabad,"$300,000","$450,000"
Australia,Daniel Christian,Royal Challengers Bangalore,"$100,000","$100,000"
Australia,Michael Clarke,Pune Warriors India,"$400,000","$400,000"
Australia,Nathan Coulter-Nile,Mumbai Indians,"$100,000","$450,000"
Sri Lanka,Akila Dananjaya,Chennai Super Kings,"$20,000","$20,000"
South Africa,Quinton de Kock,Sunrisers Hyderabad,"$20,000","$20,000"
Barbados,Fidel Edwards,Rajasthan Royals,"$100,000","$210,000"
Australia,James Faulkner,Rajasthan Royals,"$100,000","$400,000"
India,Manpreet Gony,Kings XI Punjab,"$200,000","$500,000"
Australia,Moisés Henriques,Royal Challengers Bangalore,"$100,000","$300,000"
Barbados,Jason Holder,Chennai Super Kings,"$20,000","$20,000"
Australia,Phillip Hughes,Mumbai Indians,"$100,000","$100,000"
Australia,Ben Laughlin,Chennai Super Kings,"$20,000","$20,000"
Australia,Glenn Maxwell,Mumbai Indians,"$200,000","$1,000,000"
New Zealand,Nathan McCullum,Sunrisers Hyderabad,"$100,000","$100,000"
Australia,Clint McKay,Sunrisers Hyderabad,"$100,000","$100,000"
South Africa,Ryan McLaren,Kolkata Knight Riders,"$50,000","$50,000"
Sri Lanka,Ajantha Mendis,Pune Warriors India,"$50,000","$725,000"
Sri Lanka,Jeevan Mendis,Delhi Daredevils,"$50,000","$50,000"
South Africa,Chris Morris,Chennai Super Kings,"$20,000","$625,000"
Australia,Dirk Nannes,Chennai Super Kings,"$200,000","$600,000"
New Zealand,Jacob Oram,Mumbai Indians,"$50,000","$50,000"
Sri Lanka,Kusal Perera,Rajasthan Royals,"$20,000","$20,000"
Sri Lanka,Thisara Perera,Sunrisers Hyderabad,"$50,000","$675,000"
Australia,Luke Pomersbach,Kings XI Punjab,"$50,000","$300,000"
Australia,Ricky Ponting,Mumbai Indians,"$400,000","$400,000"
Trinidad and Tobago,Ravi Rampaul,Royal Challengers Bangalore,"$50,000","$290,000"
Australia,Kane Richardson,Pune Warriors India,"$100,000","$700,000"
New Zealand,Jesse Ryder,Delhi Daredevils,"$100,000","$260,000"
Saint Lucia,Darren Sammy,Sunrisers Hyderabad,"$100,000","$425,000"
India,Pankaj Singh,Royal Challengers Bangalore,"$50,000","$150,000"
India,Rudra Singh,Royal Challengers Bangalore,"$100,000","$400,000"
India,Sudeep Tyagi,Sunrisers Hyderabad,"$100,000","$100,000"
India,Jaydev Unadkat,Royal Challengers Bangalore,"$100,000","$525,000"
