,team_name,player_name,ipl_team,base_price,buy_price
0,Eng !,Kevin Pietersen,Rising Pune Supergiants,200,300
1,WI !,Dwayne Smith,Gujarat Lions,50,230
2,Ind !,Ishant Sharma,Rising Pune Supergiants,200,380
3,Australia !,Shane Watson,Royal Challengers Bangalore,200,950
4,Ind !,Ashish Nehra,Sunrisers Hyderabad,200,550
5,Ind !,Yuvraj Singh,Sunrisers Hyderabad,200,700
6,South Africa !,Dale Steyn,Gujarat Lions,150,230
7,Ind !,Sanju Samson,Delhi Daredevils,200,420
8,Eng !,Jos Buttler,Mumbai Indians,150,380
9,Ind !,Dinesh Karthik,Gujarat Lions,200,230
10,Ind !,Irfan Pathan,Rising Pune Supergiants,100,100
11,South Africa !,Chris Morris,Delhi Daredevils,50,700
12,NZ !,Colin Munro,Kolkata Knight Riders,30,30
13,Ind !,Stuart Binny,Royal Challengers Bangalore,200,200
14,Australia !,Mitchell Marsh,Rising Pune Supergiants,200,480
15,Ind !,Dhawal Kulkarni,Gujarat Lions,200,230
16,Australia !,John Hastings,Kolkata Knight Riders,100,130
17,Ind !,Praveen Kumar,Gujarat Lions,50,350
18,NZ !,Tim Southee,Mumbai Indians,100,250
19,Ind !,Mohit Sharma,Kings XI Punjab,150,650
20,WI !,Carlos Brathwaite,Delhi Daredevils,30,420
21,Australia !,Marcus Stoinis,Kings XI Punjab,30,55
22,BAN !,Mustafizur Rahman,Sunrisers Hyderabad,50,140
23,Ind !,Jaydev Unadkat,Kolkata Knight Riders,30,160
24,South Africa !,Kyle Abbott,Kings XI Punjab,30,210
25,Ind !,Barinder Sran,Sunrisers Hyderabad,50,120
26,Ind !,Abhimanyu Mithun,Sunrisers Hyderabad,30,30
27,Ind !,R. P. Singh,Rising Pune Supergiants,30,30
28,Australia !,Travis Head,Royal Challengers Bangalore,30,50
29,Ind !,Sachin Baby,Royal Challengers Bangalore,10,10
30,Ind !,Karun Nair,Delhi Daredevils,10,400
31,Ind !,Paras Dogra,Gujarat Lions,10,400
32,Ind !,Ishan Kishan,Gujarat Lions,10,35
33,Ind !,Rishabh Pant,Delhi Daredevils,10,190
34,Ind !,Eklavya Dwivedi,Gujarat Lions,20,100
35,Ind !,Aditya Tare,Sunrisers Hyderabad,20,120
36,Ind !,Iqbal Abdulla,Royal Challengers Bangalore,10,10
37,Ind !,Deepak Hooda,Sunrisers Hyderabad,10,420
38,Ind !,Ankit Sharma,Rising Pune Supergiants,10,10
39,Ind !,Pawan Negi,Delhi Daredevils,30,850
40,Ind !,Rajat Bhatia,Rising Pune Supergiants,30,60
41,Ind !,Pradeep Sangwan,Gujarat Lions,20,20
42,Ind !,Nathu Singh,Mumbai Indians,10,320
43,Ind !,Ishwar Pandey,Rising Pune Supergiants,20,20
44,Ind !,Ankit Rajpoot,Kolkata Knight Riders,10,150
45,Ind !,Pravin Tambe,Gujarat Lions,10,20
