player_name,year,buy_price,base_price
Gautam Gambhir,2011,"$2,400,000","$200,000"
Yusuf Pathan,2011,"$2,100,000","$300,000"
Robin Uthappa,2011,"$2,100,000","$200,000"
Rohit Sharma,2011,"$2,000,000","$200,000"
Irfan Pathan,2011,"$1,900,000","$200,000"
Yuvraj Singh,2011,"$1,800,000","$400,000"
Saurabh Tiwary,2011,"$1,600,000","$100,000"
Mahela Jayawardene,2011,"$1,500,000","$400,000"
David Hussey,2011,"$1,400,000","$200,000"
Dale Steyn,2011,"$1,200,000","$200,000"
Muttiah Muralitharan,2011,"$1,100,000","$300,000"
Cameron White,2011,"$1,100,000","$300,000"
Jacques Kallis,2011,"$1,100,000","$300,000"
AB de Villiers,2011,"$1,100,000","$400,000"
Ross Taylor,2011,"$1,000,000","$400,000"
Angelo Mathews,2011,"$950,000","$300,000"
Ravindra Jadeja,2011,"$950,000","$100,000"
Johan Botha,2011,"$950,000","$200,000"
Dinesh Karthik,2011,"$900,000","$200,000"
Piyush Chawla,2011,"$900,000","$100,000"
Sreesanth,2011,"$900,000","$200,000"
Adam Gilchrist,2011,"$900,000","$400,000"
Zaheer Khan,2011,"$900,000","$300,000"
Dan Christian,2011,"$900,000","$50,000"
Ravichandran Ashwin,2011,"$850,000","$100,000"
Ashish Nehra,2011,"$850,000","$200,000"
Andrew Symonds,2011,"$850,000","$300,000"
Subramaniam Badrinath,2011,"$800,000","$100,000"
Praveen Kumar,2011,"$800,000","$200,000"
David Warner,2011,"$750,000","$200,000"
Umesh Yadav,2011,"$750,000","$50,000"
Munaf Patel,2011,"$700,000","$100,000"
Kumar Sangakkara,2011,"$700,000","$300,000"
Cheteshwar Pujara,2011,"$700,000","$100,000"
Doug Bollinger,2011,"$700,000","$200,000"
Dirk Nannes,2011,"$650,000","$200,000"
Tillakaratne Dilshan,2011,"$650,000","$400,000"
Kevin Pietersen,2011,"$650,000","$400,000"
Daniel Vettori,2011,"$550,000","$400,000"
Pragyan Ojha,2011,"$500,000","$200,000"
Rahul Dravid,2011,"$500,000","$400,000"
Graeme Smith,2011,"$500,000","$400,000"
RP Singh,2011,"$500,000","$200,000"
Lakshmipathy Balaji,2011,"$500,000","$100,000"
Manoj Tiwary,2011,"$475,000","$100,000"
MornÃĐ Morkel,2011,"$475,000","$100,000"
Brendon McCullum,2011,"$475,000","$400,000"
Vinay Kumar,2011,"$475,000","$100,000"
Ishant Sharma,2011,"$450,000","$200,000"
Brad Hodge,2011,"$425,000","$200,000"
Shakib Al Hasan,2011,"$425,000","$200,000"
Michael Hussey,2011,"$425,000","$200,000"
Brett Lee,2011,"$400,000","$400,000"
Shaun Marsh,2011,"$400,000","$400,000"
Stuart Broad,2011,"$400,000","$400,000"
VVS Laxman,2011,"$400,000","$300,000"
Murali Kartik,2011,"$400,000","$200,000"
Ashok Dinda,2011,"$375,000","$100,000"
Eoin Morgan,2011,"$350,000","$200,000"
James Hopes,2011,"$350,000","$200,000"
Ryan Harris,2011,"$325,000","$200,000"
Brad Haddin,2011,"$325,000","$200,000"
Callum Ferguson,2011,"$300,000","$200,000"
Aaron Finch,2011,"$300,000","$100,000"
Amit Mishra,2011,"$300,000","$100,000"
Shikhar Dhawan,2011,"$300,000","$100,000"
JP Duminy,2011,"$300,000","$200,000"
Shaun Tait,2011,"$300,000","$300,000"
Parthiv Patel,2011,"$290,000","$100,000"
Mitchell Marsh,2011,"$290,000","$100,000"
Manpreet Gony,2011,"$290,000","$50,000"
Naman Ojha,2011,"$270,000","$100,000"
Tim Paine,2011,"$270,000","$100,000"
Abhimanyu Mithun,2011,"$260,000","$100,000"
Jaydev Unadkat,2011,"$250,000","$50,000"
Paul Collingwood,2011,"$250,000","$200,000"
Sudeep Tyagi,2011,"$240,000","$50,000"
Ajit Agarkar,2011,"$210,000","$100,000"
Steven Smith,2011,"$200,000","$200,000"
Dwayne Bravo,2011,"$200,000","$200,000"
Owais Shah,2011,"$200,000","$200,000"
Scott Styris,2011,"$200,000","$100,000"
Ramesh Powar,2011,"$180,000","$100,000"
Wayne Parnell,2011,"$160,000","$100,000"
Ryan ten Doeschate,2011,"$150,000","$50,000"
Jesse Ryder,2011,"$150,000","$100,000"
