,pname,id
0,Gautam+Gambhir,28763
1,Yusuf+Pathan,32498
2,Robin+Uthappa,35582
3,Rohit+Sharma,34102
4,Irfan+Pathan,32685
5,Yuvraj+Singh,36084
6,Saurabh+Tiwary,35390
7,Mahela+Jayawardene,49289
8,David+Hussey,5766
9,Dale+Steyn,47492
10,Muttiah+Muralitharan,49636
11,Cameron+White,8291
12,Jacques+Kallis,45789
13,AB+de+Villiers,44936
14,Ross+Taylor,38699
15,Angelo+Mathews,49764
16,Ravindra+Jadeja,234675
17,Johan+Botha,44149
18,Dinesh+Karthik,30045
19,Piyush+Chawla,32966
20,Sreesanth,34274
21,Adam+Gilchrist,5390
22,Zaheer+Khan,30102
23,Dan+Christian,4864
24,Ravichandran+Ashwin,26421
25,Ashish+Nehra,31820
26,Andrew+Symonds,7702
27,Subramaniam+Badrinath,26806
28,Praveen+Kumar,30732
29,David+Warner,219889
30,Umesh+Yadav,376116
31,Munaf+Patel,32965
32,Kumar+Sangakkara,50710
33,Cheteshwar+Pujara,32540
34,Doug+Bollinger,4508
35,Dirk+Nannes,6981
36,Tillakaratne+Dilshan,48472
37,Kevin+Pietersen,19296
38,Daniel+Vettori,38710
39,Pragyan+Ojha,32130
40,Rahul+Dravid,28114
41,Graeme+Smith,47270
42,RP+Singh,35280
43,Manoj+Tiwary,35565
44,MornÃĐ+Morkel,46538
45,Brendon+McCullum,37737
46,Vinay+Kumar,35731
47,Ishant+Sharma,236779
48,Brad+Hodge,5674
49,Shakib+Al+Hasan,56143
50,Michael+Hussey,5939
51,Brett+Lee,6278
52,Shaun+Marsh,6683
53,Stuart+Broad,10617
54,VVS+Laxman,30750
55,Murali+Kartik,30049
56,Ashok+Dinda,227712
57,Eoin+Morgan,24598
58,James+Hopes,5702
59,Ryan+Harris,5779
60,Brad+Haddin,5560
61,Callum+Ferguson,5236
62,Aaron+Finch,5334
63,Amit+Mishra,31107
64,Shikhar+Dhawan,28235
65,JP+Duminy,44932
66,Shaun+Tait,8076
67,Parthiv+Patel,32242
68,Mitchell+Marsh,272450
69,Manpreet+Gony,317293
70,Naman+Ojha,32102
71,Tim+Paine,7252
72,Jaydev+Unadkat,390484
73,Paul+Collingwood,10772
74,Sudeep+Tyagi,317784
75,Ajit+Agarkar,26184
76,Steven+Smith,267192
77,Dwayne+Bravo,51439
78,Owais+Shah,20123
79,Scott+Styris,38407
80,Ramesh+Powar,32391
81,Wayne+Parnell,265564
82,Ryan+ten+Doeschate,47660
83,Jesse+Ryder,38373
84,Joginder+Sharma,29976
85,Charl+Langeveldt,45963
86,Mohammad+Kaif,29990
87,Francois+du+Plessis,44828
88,Clint+McKay,6903
89,Nathan+McCullum,37749
90,James+Franklin,37004
91,Jerome+Taylor,53191
92,James+Pattinson,272465
93,Alfonso+Thomas,47569
94,Nuwan+Kulasekara,49535
95,Matthew+Wade,230193
96,Dimitri+Mascarenhas,16932
97,Colin+Ingram,45705
98,Ben+Hilfenhaus,5941
99,Pankaj+Singh,32973
100,Rusty+Theron,223642
101,Suraj+Randiv,50438
102,John+Hastings,228622
103,Andrew+McDonald,6553
104,Michael+Lumb,16406
105,Michael+Klinger,6161
106,Moises+Henriques,5961
107,George+Bailey,4451
108,Roelof+van+der+Merwe,47850
109,Rilee+Rossouw,318845
110,Nuwan+Pradeep,324358
111,Travis+Birt,4292
112,Nathan+Rimmington,7443
113,Jonathan+Vandiar,285687
114,Aiden+Blizzard,4498
115,Robert+Frylinck,45204
116,Stephen+O'Keefe,7069
117,Brendon+McCullum,37737
118,Ravindra+Jadeja,234675
119,Muttiah+Muralitharan,49636
120,Mahela+Jayawardene,49289
121,Herschelle+Gibbs,45224
122,Brad+Hodge,5674
123,Parthiv+Patel,32242
124,Dinesh+Chandimal,300628
125,Andre+Russell,276298
126,Mitchell+Johnson+(cricketer),6033
127,R.+P.+Singh,34057
128,Vinay+Kumar,35731
129,Sreesanth,34274
130,Ramesh+Powar,32391
131,Brad+Hogg,5681
132,Sunil+Narine,230558
133,Robin+Peterson,46750
134,Daniel+Harris+(cricketer),5583
135,Kevon+Cooper,371814
136,James+Faulkner+(cricketer),270484
137,Azhar+Mahmood,39024
138,Thisara+Perera,233514
139,Marchant+de+Lange,393279
140,Darren+Bravo,277472
141,Doug+Bracewell,362541
142,Christopher+Barnwell,330408
143,Johan+Botha,44149
144,Daniel+Christian,4864
145,Michael+Clarke,4578
146,Nathan+Coulter-Nile,261354
147,Akila+Dananjaya,574178
148,Quinton+de+Kock,379143
149,Fidel+Edwards,51782
150,James+Faulkner,270484
151,Manpreet+Gony,317293
152,MoisÃĐs+Henriques,5961
153,Jason+Holder,391485
154,Phillip+Hughes,272364
155,Ben+Laughlin,315623
156,Glenn+Maxwell,325026
157,Nathan+McCullum,37749
158,Clint+McKay,6903
159,Ryan+McLaren,46393
160,Ajantha+Mendis,268739
161,Jeevan+Mendis,49700
162,Chris+Morris,439952
163,Dirk+Nannes,6981
164,Jacob+Oram,38062
165,Kusal+Perera,300631
166,Thisara+Perera,233514
167,Luke+Pomersbach,232284
168,Ricky+Ponting,7133
169,Ravi+Rampaul,52912
170,Kane+Richardson,272262
171,Jesse+Ryder,38373
172,Darren+Sammy,53115
173,Pankaj+Singh,32973
174,Rudra+Singh,34057
175,Sudeep+Tyagi,317784
176,Jaydev+Unadkat,390484
177,Mitchell+Johnson,6033
178,Jacques+Kallis,45789
179,Kevin+Pietersen,19296
180,Virender+Sehwag,35263
181,Yuvraj+Singh,36084
182,Murali+Vijay,237095
183,David+Warner,219889
184,George+Bailey,4451
185,Faf+du+Plessis,44828
186,Michael+Hussey,5939
187,Dinesh+Karthik,30045
188,Zaheer+Khan,30102
189,Brendon+McCullum,37737
190,Amit+Mishra,31107
