,Player Name,Base Price,Estimated Buy Price,Estimated Buy Price Low,estimated price range
0,Faiz+Fazal,3000000,5334000,4268000,4268000 - 5334000
1,Martin+Guptill,5000000,5508000,4407000,4407000 - 5508000
2,Alex+Hales,10000000,5508000,4407000,4407000 - 5508000
3,Eoin+Morgan,20000000,5508000,4407000,4407000 - 5508000
4,Jason+Roy,10000000,5508000,4407000,4407000 - 5508000
5,Ross+Taylor,5000000,5508000,4407000,4407000 - 5508000
6,Sean+Abbott,3000000,3625000,2900000,2900000 - 3625000
7,Corey+Anderson,10000000,1000000,800000,800000 - 1000000
8,Chris+Jordan,5000000,1000000,800000,800000 - 1000000
9,Angelo+Mathews,20000000,1000000,800000,800000 - 1000000
10,Benjamin+Stokes,20000000,5508000,4407000,4407000 - 5508000
11,Jonny+Bairstow,15000000,1000000,800000,800000 - 1000000
12,Dinesh+Chandimal,5000000,5508000,4407000,4407000 - 5508000
13,Johnson+Charles,3000000,5508000,4407000,4407000 - 5508000
14,Ben+Dunk,3000000,1000000,800000,800000 - 1000000
15,Andre+Fletcher,3000000,5508000,4407000,4407000 - 5508000
16,Unmukt+Chand,3000000,3625000,2900000,2900000 - 3625000
17,Michael+Klinger,3000000,5508000,4407000,4407000 - 5508000
18,Mohammad+Nabi,3000000,5508000,4407000,4407000 - 5508000
19,Darren+Bravo,5000000,1000000,800000,800000 - 1000000
20,Evin+Lewis,5000000,5508000,4407000,4407000 - 5508000
21,Nic+Maddinson,5000000,1125000,900000,900000 - 1125000
22,Marlon+Samuels,10000000,5508000,4407000,4407000 - 5508000
23,Farhaan+Behardien,3000000,5508000,4407000,4407000 - 5508000
24,Jason+Holder,15000000,1000000,800000,800000 - 1000000
25,David+Wiese,3000000,1000000,800000,800000 - 1000000
26,Chris+Woakes,20000000,3625000,2900000,2900000 - 3625000
27,Niroshan+Dickwella,3000000,1125000,900000,900000 - 1125000
28,D'Arcy+Short,1000000,3625000,2900000,2900000 - 3625000
29,Neil+Broom,3000000,5508000,4407000,4407000 - 5508000
30,Joe+Burns,3000000,1000000,800000,800000 - 1000000
31,Callum+Ferguson,5000000,1125000,900000,900000 - 1125000
32,Asela+Gunarathna,3000000,5334000,4268000,4268000 - 5334000
33,Sam+Heazlett,3000000,1125000,900000,900000 - 1125000
34,Kusal+Mendis,3000000,5508000,4407000,4407000 - 5508000
35,Daniel+Christian,10000000,5508000,4407000,4407000 - 5508000
36,Grant+Elliott,10000000,1125000,900000,900000 - 1125000
37,Colin+Munro,5000000,5508000,4407000,4407000 - 5508000
38,James+Neesham,5000000,5508000,4407000,4407000 - 5508000
39,Wayne+Parnell,5000000,3625000,2900000,2900000 - 3625000
40,Rovman+Powell,3000000,1000000,800000,800000 - 1000000
41,Darren+Sammy,3000000,5508000,4407000,4407000 - 5508000
42,Mitchell+Santner,5000000,3625000,2900000,2900000 - 3625000
43,Milind+Kumar,1000000,3625000,2900000,2900000 - 3625000
44,Amit+Mishra,1000000,5334000,4268000,4268000 - 5334000
45,Shashank+Singh,1000000,1125000,900000,900000 - 1125000
46,Milind+Tandon,1000000,1125000,900000,900000 - 1125000
47,Glenn+Phillips,1000000,1125000,900000,900000 - 1125000
48,Amit+Mishra,1000000,5334000,4268000,4268000 - 5334000
49,Anton+Devcich,3000000,3625000,2900000,2900000 - 3625000
50,Rayad+Emrit,3000000,5334000,4268000,4268000 - 5334000
51,Seekkuge+Prasanna,3000000,1000000,800000,800000 - 1000000
52,Dwaine+Pretorius,3000000,3625000,2900000,2900000 - 3625000
53,Jesse+Ryder,3000000,5508000,4407000,4407000 - 5508000
54,Alex+Ross,3000000,1000000,800000,800000 - 1000000
55,Ritwik+Chowdhury,1000000,1000000,800000,800000 - 1000000
56,Tom+Cooper,3000000,1000000,800000,800000 - 1000000
57,Dharmendrasinh+Jadeja,1000000,3625000,2900000,2900000 - 3625000
58,Raymon+Reifer,2000000,5334000,4268000,4268000 - 5334000
59,Christiaan+Jonker,1000000,1125000,900000,900000 - 1125000
60,Parth+Kohli,1000000,5508000,4407000,4407000 - 5508000
61,Hardik+Sethi,1000000,1000000,800000,800000 - 1000000
62,Ashton+Turner,2000000,3625000,2900000,2900000 - 3625000
63,Vysak+V.,1000000,3625000,2900000,2900000 - 3625000
