,role,pname
0,0,Mitchell+Johnson
1,1,Jacques+Kallis
2,1,Kevin+Pietersen
3,1,Virender+Sehwag
4,1,Yuvraj+Singh
5,1,Murali+Vijay
6,1,David+Warner
7,1,George+Bailey
8,1,Faf+du+Plessis
9,1,Michael+Hussey
10,1,Dinesh+Karthik
11,0,Zaheer+Khan
12,1,Brendon+McCullum
13,0,Amit+Mishra
14,1,Darren+Sammy
15,1,Jean-Paul+Duminy
16,1,Aaron+Finch
17,1,Brad+Hodge
18,1,Shaun+Marsh
19,1,Cheteshwar+Pujara
20,1,Dwayne+Smith
21,1,Ross+Taylor
22,0,Manoj+Tiwary
23,0,Robin+Uthappa
24,1,Quinton+de+Kock
25,1,Naman+Ojha
26,1,Parthiv+Patel
27,1,Wriddhiman+Saha
28,1,Shakib+Al+Hasan
29,1,Albie+Morkel
30,1,Irfan+Pathan
31,1,Yusuf+Pathan
32,1,Thisara+Perera
33,1,Steven+Smith
34,0,Ashok+Dinda
35,0,Bhuvneshwar+Kumar
36,0,Morne+Morkel
37,0,Ravi+Rampaul
38,0,Ishant+Sharma
39,0,Mitchell+Starc
40,0,Ranganath+Vinay+Kumar
41,0,Umesh+Yadav
42,1,Piyush+Chawla
43,0,Murali+Kartik
44,0,Muttiah+Muralitharan
45,0,Pragyan+Ojha
46,0,Rahul+Sharma
47,1,Nic+Maddinson
48,1,Saurabh+Tiwary
49,1,Brendan+Taylor
50,1,Corey+Anderson
51,1,Moises+Henriques
52,1,Glenn+Maxwell
53,1,Abhishek+Nayar
54,1,Laxmi+Ratan+Shukla
55,1,Andre+Russell
56,0,Varun+Aaron
57,0,Parvinder+Awana
58,0,Lakshmipathy+Balaji
59,0,Nathan+Coulter-Nile
60,0,Ashish+Nehra
61,0,Mohit+Sharma
62,0,Jaydev+Unadkat
63,0,Samuel+Badree
64,0,Chris+Lynn
65,1,Yalaka+Venugopal+Rao
66,1,John+Hastings
67,1,James+Neesham
68,1,Ben+Cutting
69,0,Josh+Hazlewood
70,0,Ben+Hilfenhaus
71,1,Jason+Holder
72,0,Kane+Richardson
73,0,Tim+Southee
74,0,Patrick+Cummins
75,0,Wayne+Parnell
76,0,Marchant+de+Lange
77,0,Krishmar+Santokie
78,0,Matt+Henry[LAT]
79,0,Mayank+Agarwal
80,1,Srikkanth+Anirudha
81,1,Baba+Aparajith
82,1,Unmukt+Chand
83,0,Kedar+Jadhav
84,1,Gurkeerat+Singh
85,1,Manish+Pandey
86,1,KL+Rahul
87,0,Suryakumar+Yadav
88,1,Ankush+Bains
89,0,Manvinder+Bisla
90,1,Ben+Dunk
91,0,CM+Gautam
92,0,Sushant+Marathe
93,0,Aditya+Tare
94,1,Iqbal+Abdullah
95,1,Rajat+Bhatia
96,1,Kevon+Cooper
97,1,Rishi+Dhawan
98,1,Mithun+Manhas
99,1,Parvez+Rasool
100,1,Mandeep+Singh
101,1,Ryan+Ten+Doeschate
102,0,Jasprit+Bumrah
103,0,Siddarth+Kaul
104,0,Dhawal+Kulkarni
105,0,Ishwar+Pandey
106,0,Sandeep+Sharma
107,0,Anureet+Singh
108,1,Shreyas+Gopal
109,0,Shadab+Jakati
110,0,Shahbaz+Nadeem
111,0,Pawan+Negi
112,0,Karn+Sharma
113,0,Yuzvendra+Chahal
114,0,Kuldeep+Yadav
115,0,Pravin+Tambe
116,1,Karun+Nair
117,1,Amit+Paunikar
118,0,Dishant+Yagnik
119,1,Akshar+Patel
120,1,Vijay+Shankar
121,0,Beuran+Hendricks
122,0,Vikramjeet+Malik
123,0,Harshal+Patel
124,1,Ashish+Reddy
125,0,Pawan+Suyal
126,0,Ankit+Nagendra+Sharma
127,1,Ricky+Bhui
128,0,Jayant+Yadav
129,0,Amit+Mishra
130,0,Sachin+Rana
131,1,Deepak+Hooda[LAT]
132,0,Chama+Milind
133,0,Shardul+Thakur
134,1,Tanmay+Mishra
