,role,pname
0,1,Gautam+Gambhir
1,1,Yusuf+Pathan
2,0,Robin+Uthappa
3,1,Rohit+Sharma
4,1,Irfan+Pathan
5,1,Yuvraj+Singh
6,1,Saurabh+Tiwary
7,0,Mahela+Jayawardene
8,1,David+Hussey
9,0,Dale+Steyn
10,0,Muttiah+Muralitharan
11,1,Cameron+White
12,1,Jacques+Kallis
13,1,AB+de+Villiers
14,1,Ross+Taylor
15,1,Angelo+Mathews
16,1,Ravindra+Jadeja
17,1,Johan+Botha
18,1,Dinesh+Karthik
19,1,Piyush+Chawla
20,0,Sreesanth
21,1,Adam+Gilchrist
22,0,Zaheer+Khan
23,1,Dan+Christian
24,1,Ravichandran+Ashwin
25,0,Ashish+Nehra
26,1,Andrew+Symonds
27,1,Subramaniam+Badrinath
28,0,Praveen+Kumar
29,1,David+Warner
30,0,Umesh+Yadav
31,0,Munaf+Patel
32,1,Kumar+Sangakkara
33,1,Cheteshwar+Pujara
34,0,Doug+Bollinger
35,0,Dirk+Nannes
36,1,Tillakaratne+Dilshan
37,1,Kevin+Pietersen
38,1,Daniel+Vettori
39,0,Pragyan+Ojha
40,1,Rahul+Dravid
41,1,Graeme+Smith
42,0,RP+Singh
43,0,Manoj+Tiwary
44,0,MornÃĐ+Morkel
45,1,Brendon+McCullum
46,0,Vinay+Kumar
47,0,Ishant+Sharma
48,1,Brad+Hodge
49,1,Shakib+Al+Hasan
50,1,Michael+Hussey
51,0,Brett+Lee
52,1,Shaun+Marsh
53,0,Stuart+Broad
54,1,VVS+Laxman
55,0,Murali+Kartik
56,0,Ashok+Dinda
57,1,Eoin+Morgan
58,1,James+Hopes
59,0,Ryan+Harris
60,1,Brad+Haddin
61,1,Callum+Ferguson
62,1,Aaron+Finch
63,0,Amit+Mishra
64,1,Shikhar+Dhawan
65,1,JP+Duminy
66,0,Shaun+Tait
67,1,Parthiv+Patel
68,1,Mitchell+Marsh
69,0,Manpreet+Gony
70,1,Naman+Ojha
71,1,Tim+Paine
72,0,Jaydev+Unadkat
73,1,Paul+Collingwood
74,0,Sudeep+Tyagi
75,0,Ajit+Agarkar
76,1,Steven+Smith
77,1,Dwayne+Bravo
78,0,Owais+Shah
79,1,Scott+Styris
80,0,Ramesh+Powar
81,0,Wayne+Parnell
82,1,Ryan+ten+Doeschate
83,1,Jesse+Ryder
84,1,Joginder+Sharma
85,0,Charl+Langeveldt
86,0,Mohammad+Kaif
87,1,Francois+du+Plessis
88,0,Clint+McKay
89,0,Nathan+McCullum
90,1,James+Franklin
91,0,Jerome+Taylor
92,0,James+Pattinson
93,0,Alfonso+Thomas
94,0,Nuwan+Kulasekara
95,1,Matthew+Wade
96,1,Dimitri+Mascarenhas
97,1,Colin+Ingram
98,0,Ben+Hilfenhaus
99,0,Pankaj+Singh
100,0,Rusty+Theron
101,0,Suraj+Randiv
102,1,John+Hastings
103,1,Andrew+McDonald
104,1,Michael+Lumb
105,0,Michael+Klinger
106,1,Moises+Henriques
107,1,George+Bailey
108,1,Roelof+van+der+Merwe
109,1,Rilee+Rossouw
110,0,Nuwan+Pradeep
111,1,Travis+Birt
112,0,Nathan+Rimmington
113,0,Jonathan+Vandiar
114,0,Aiden+Blizzard
115,1,Robert+Frylinck
116,1,Stephen+O'Keefe
117,1,Brendon+McCullum
118,1,Ravindra+Jadeja
