,pname,role
0,Faiz+Fazal,1
1,Martin+Guptill,1
2,Alex+Hales,1
3,Eoin+Morgan,1
4,Jason+Roy,1
5,Ross+Taylor,1
6,Saurabh+Tiwary,1
7,Sean+Abbott,1
8,Corey+Anderson,1
9,Chris+Jordan,1
10,Angelo+Mathews,1
11,Pawan+Negi,1
12,Irfan+Pathan,1
13,Benjamin+Stokes,1
14,Jonny+Bairstow,1
15,Dinesh+Chandimal,1
16,Johnson+Charles,1
17,Ben+Dunk,1
18,Andre+Fletcher,1
19,Nicholas+Pooran,1
20,Kyle+Abbott,0
21,Trent+Boult,0
22,Nathan+Coulter-Nile,0
23,Patrick+Cummins,0
24,Mitchell+Johnson,0
25,Tymal Solomon+Mills,0
26,Kagiso+Rabada,0
27,Ishant+Sharma,0
28,George Bradley+Hogg,0
29,Pragyan+Ojha,0
30,Lakshan+Sandakan,0
31,Inderbir Singh+Sodhi,0
32,Muhammad Imran+Tahir,0
33,Tanmay+Agarwal,1
34,Ankeet+Bawane,1
35,Unmukt+Chand,1
36,Michael+Klinger,1
37,Umang+Sharma,1
38,Prithvi+Shaw,1
39,Mohamad Asghar+Stanikzai,1
40,Shivam+Dube,1
41,Praveen+Dubey,1
42,Gowtham+K.,1
43,Rush B+Kalaria,1
44,Mahipal+Lomror,1
45,Mohammad+Nabi,1
46,Aksh Deep+Nath,1
47,Priyank+Panchal,1
48,Manan+Sharma,1
49,Rahul+Tewatia,1
50,Mohit+Ahlawat,1
51,Manvinder+Bisla,1
52,Eklavya+Dwivedi,1
53,Shreevats+Goswami,1
54,Mohammad Shahzad+Mohammadi,1
55,Aditya+Tare,1
56,Vishnu+Vinod,1
57,Abu Nechim+Ahmed,0
58,Aniket+Choudhary,0
59,T.+Natarajan,0
60,Umar+Nazir,0
61,Navdeep+Saini,0
62,Nathu+Singh,0
63,Pawan+Suyal,0
64,Basil+Thampy,0
65,Tejas Singh+Baroka,0
66,M.+Ashwin,0
67,Mayank+Dagar,0
68,Rashid+Khan Arman,0
69,Sarabjeet+Singh (Ladda),0
70,Mitchell+Swepson,0
71,Pravin+Tambe,0
72,Akshay+Wakhare,0
73,Subramaniam+Badrinath,1
74,Darren+Bravo,1
75,Evin+Lewis,1
76,Nic+Maddinson,1
77,Abhinav+Mukund,1
78,Cheteshwar+Pujara,1
79,Marlon+Samuels,1
80,Manoj+Tiwari,1
81,Farhaan+Behardien,1
82,Rishi+Dhawan,1
83,Jason+Holder,1
84,Thisara+Perera,1
85,Parveez+Rasool,1
86,Karn+Sharma,1
87,David+Wiese,1
88,Chris+Woakes,1
89,Anamul Haque+Bijoy,1
90,Niroshan+Dickwella,1
91,Shane+Dorwich,1
92,Brad+Haddin,1
93,Kusal+Janith Perera,1
94,Varun+Aaron,0
95,Manpreet+Gony,0
96,Matt+Henry,0
97,Ben+Laughlin,0
98,Pankaj+Singh,0
99,Rudra Pratap+Singh,0
100,Billy+Stanlake,0
101,Jaydev+Unadkat,0
102,Fawad+Ahmed,0
103,Michael+Beer,0
104,Akila+Dananjaya,0
105,Nathan+Lyon,0
106,Rahul+Sharma,0
107,Shishir+Bhavane,1
108,Rajesh+Bishnoi SR.,1
109,Pramod+Chandila,1
110,Paras+Dogra,1
111,Aditya+Garhwal,1
112,Amandeep+Khare,1
113,Samarth+R.,1
114,Himanshu+Rana,1
115,D'Arcy+Short,1
116,Apoorv Vijay+Wankhade,1
117,Akash+Bhandari,1
118,Rujul Haren+Bhatt,1
119,Jay Gokul+Bista,1
120,Aamir+Gani,1
121,Akhil Arvind+Herwadkar,1
122,Pankaj+Jaswal,1
123,Kishore Pramod+Kamath,1
124,Ashok+Menaria,1
125,A. Ashish+Reddy,1
126,Rajagopal+Sathish,1
127,Gautam+C.M.,1
128,K. B. Arun+Karthik,1
129,Gitansh+Khera,1
130,Mahesh+Rawat,1
131,Nitin+Saini,1
132,Dishant+Yagnik,1
