,batsman,base_price,buy_price,runs,balls,avg,srate,runs2,avg2,srate2,base_price2,runs3,runs4
0,Gautam+Gambhir,200000.0,2400000.0,346.0,279.0,24.7142857143,115.55991094,119716.0,610.795918367,13354.0930165,40000000000.0,18.6010752377,41421736.0
1,Yusuf+Pathan,300000.0,2100000.0,532.0,339.0,21.28,124.614051567,283024.0,452.8384,15528.661848,90000000000.0,23.0651251893,150568768.0
2,Rohit+Sharma,200000.0,2000000.0,551.0,405.0,26.2380952381,,303601.0,688.437641723,,40000000000.0,23.4733891886,167284151.0
3,Irfan+Pathan,200000.0,1900000.0,276.0,186.0,21.2307692308,165.664220137,76176.0,450.74556213,27444.6338336,40000000000.0,16.6132477258,21024576.0
4,Yuvraj+Singh,400000.0,1800000.0,341.0,282.0,17.05,106.493435731,116281.0,290.7025,11340.8518538,1.6e+11,18.4661853126,39651821.0
5,Saurabh+Tiwary,100000.0,1600000.0,501.0,367.0,27.8333333333,115.828171976,251001.0,774.694444444,13416.1654232,10000000000.0,22.3830292856,125751501.0
6,David+Hussey,200000.0,1400000.0,1257.0,942.0,27.3260869565,124.055998902,1580049.0,746.715028355,15389.8908635,40000000000.0,35.4541958025,1986121593.0
7,Cameron+White,300000.0,1100000.0,501.0,372.0,19.2692307692,,251001.0,371.303254438,,90000000000.0,22.3830292856,125751501.0
8,Jacques+Kallis,300000.0,1100000.0,909.0,779.0,36.36,106.564347695,826281.0,1322.0496,11355.9601997,90000000000.0,30.1496268634,751089429.0
9,AB+de+Villiers,400000.0,1100000.0,329.0,314.0,18.2777777778,92.2281963967,108241.0,334.077160494,8506.04021058,1.6e+11,18.1383571472,35611289.0
10,Ross+Taylor,400000.0,1000000.0,976.0,693.0,23.8048780488,125.808040715,952576.0,566.672218917,15827.6631085,1.6e+11,31.2409987036,929714176.0
11,Ravindra+Jadeja,100000.0,950000.0,9.0,11.0,4.5,81.6666666667,81.0,20.25,6669.44444444,10000000000.0,3.0,729.0
12,Johan+Botha,200000.0,950000.0,154.0,134.0,12.8333333333,,23716.0,164.694444444,,40000000000.0,12.409673646,3652264.0
13,Dinesh+Karthik,200000.0,900000.0,434.0,343.0,20.6666666667,107.97953198,188356.0,427.111111111,11659.5793266,40000000000.0,20.832666656,81746504.0
14,Piyush+Chawla,100000.0,900000.0,119.0,104.0,11.9,118.651918257,14161.0,141.61,14078.2777061,10000000000.0,10.9087121146,1685159.0
15,Adam+Gilchrist,400000.0,900000.0,501.0,323.0,21.7826086957,126.297931731,251001.0,474.482041588,15951.1675595,1.6e+11,22.3830292856,125751501.0
16,Dan+Christian,50000.0,900000.0,128.0,114.0,7.11111111111,101.375086266,16384.0,50.5679012346,10276.9081155,2500000000.0,11.313708499,2097152.0
17,Ravichandran+Ashwin,100000.0,850000.0,35.0,43.0,4.375,87.4358974359,1225.0,19.140625,7645.03616042,10000000000.0,5.9160797831,42875.0
18,Andrew+Symonds,300000.0,850000.0,731.0,539.0,22.84375,111.945859542,534361.0,521.836914062,12531.8754686,90000000000.0,27.0370116692,390617891.0
19,Subramaniam+Badrinath,100000.0,800000.0,517.0,443.0,22.4782608696,115.755361154,267289.0,505.27221172,13399.3036359,10000000000.0,22.7376340018,138188413.0
20,David+Warner,200000.0,750000.0,1166.0,800.0,25.9111111111,124.030036217,1359556.0,671.385679012,15383.449884,40000000000.0,34.1467421579,1585242296.0
