,pname,id
0,Mitchell+Johnson,6033
1,Jacques+Kallis,45789
2,Kevin+Pietersen,19296
3,Virender+Sehwag,35263
4,Yuvraj+Singh,36084
5,Murali+Vijay,237095
6,David+Warner,219889
7,George+Bailey,4451
8,Faf+du+Plessis,44828
9,Michael+Hussey,5939
10,Dinesh+Karthik,30045
11,Zaheer+Khan,30102
12,Brendon+McCullum,37737
13,Amit+Mishra,31107
14,Darren+Sammy,53115
15,Jean-Paul+Duminy,44932
16,Aaron+Finch,5334
17,Brad+Hodge,5674
18,Shaun+Marsh,6683
19,Cheteshwar+Pujara,32540
20,Dwayne+Smith,53118
21,Ross+Taylor,38699
22,Manoj+Tiwary,35565
23,Robin+Uthappa,35582
24,Quinton+de+Kock,379143
25,Naman+Ojha,32102
26,Parthiv+Patel,32242
27,Wriddhiman+Saha,279810
28,Shakib+Al+Hasan,56143
29,Albie+Morkel,46248
30,Irfan+Pathan,32685
31,Yusuf+Pathan,32498
32,Thisara+Perera,233514
33,Steven+Smith,267192
34,Ashok+Dinda,227712
35,Bhuvneshwar+Kumar,326016
36,Morne+Morkel,46538
37,Ravi+Rampaul,52912
38,Ishant+Sharma,236779
39,Mitchell+Starc,311592
40,Ranganath+Vinay+Kumar,35731
41,Umesh+Yadav,376116
42,Piyush+Chawla,32966
43,Murali+Kartik,30049
44,Muttiah+Muralitharan,49636
45,Pragyan+Ojha,32130
46,Rahul+Sharma,272994
47,Nic+Maddinson,333780
48,Saurabh+Tiwary,35390
49,Brendan+Taylor,55814
50,Corey+Anderson,277662
51,Moises+Henriques,5961
52,Glenn+Maxwell,325026
53,Abhishek+Nayar,32091
54,Laxmi+Ratan+Shukla,34019
55,Andre+Russell,276298
56,Varun+Aaron,360911
57,Parvinder+Awana,323131
58,Lakshmipathy+Balaji,26829
59,Nathan+Coulter-Nile,261354
60,Ashish+Nehra,31820
61,Mohit+Sharma,537119
62,Jaydev+Unadkat,390484
63,Samuel+Badree,51433
64,Chris+Lynn,326637
65,Yalaka+Venugopal+Rao,35805
66,John+Hastings,228622
67,James+Neesham,355269
68,Ben+Cutting,230371
69,Josh+Hazlewood,288284
70,Ben+Hilfenhaus,5941
71,Jason+Holder,391485
72,Kane+Richardson,272262
73,Tim+Southee,232364
74,Patrick+Cummins,489889
75,Wayne+Parnell,265564
76,Marchant+de+Lange,393279
77,Krishmar+Santokie,314622
78,Matt+Henry[LAT],506612
79,Mayank+Agarwal,398438
80,Srikkanth+Anirudha,26798
81,Baba+Aparajith,477071
82,Unmukt+Chand,446499
83,Kedar+Jadhav,290716
84,Manprit+Juneja,390480
85,Gurkeerat+Singh,537124
86,Manish+Pandey,290630
87,KL+Rahul,422108
88,Suryakumar+Yadav,446507
89,Vijay+Zol,554699
90,Ankush+Bains,604534
91,Manvinder+Bisla,27280
92,Debabrata+Das,328163
93,Ben+Dunk,388678
94,CM+Gautam,302208
95,Sushant+Marathe,31756
96,Yogesh+Takawale,35357
97,Aditya+Tare,333904
98,Iqbal+Abdullah,277237
99,Rajat+Bhatia,26907
100,Kevon+Cooper,371814
101,Rishi+Dhawan,290727
102,Mithun+Manhas,31001
103,Parvez+Rasool,378496
104,Mandeep+Singh,398506
105,Ryan+Ten+Doeschate,47660
106,Jasprit+Bumrah,625383
107,Siddarth+Kaul,326017
108,Dhawal+Kulkarni,277955
109,Ishwar+Pandey,447439
110,Sandeep+Sharma,438362
111,Rahul+Shukla,390547
112,Anureet+Singh,376324
113,Shreyas+Gopal,344580
114,Shadab+Jakati,29655
115,Shahbaz+Nadeem,31872
116,Pawan+Negi,530773
117,Karn+Sharma,30288
118,Yuzvendra+Chahal,430246
119,Kuldeep+Yadav,559235
120,Pravin+Tambe,587152
121,Karun+Nair,398439
122,Apoorv+Vijay+Wankhade,505773
123,Amit+Paunikar,324444
124,Dishant+Yagnik,36071
125,Akshar+Patel,554691
126,Jalaj+Saxena,237199
127,Vijay+Shankar,477021
128,Beuran+Hendricks,379927
129,Vikramjeet+Malik,31738
130,Ronit+More,424219
131,Harshal+Patel,390481
132,Veer+Pratap+Singh,528967
133,Ashish+Reddy,389605
134,Pawan+Suyal,431213
135,Sandeep+Warrier,592735
136,Ankit+Nagendra+Sharma,422992
137,Ricky+Bhui,642531
138,Rahul+Tewatia,423838
139,Jayant+Yadav,447587
140,Amit+Mishra,604550
141,Sachin+Rana,33757
142,HS+Sharath[LAT],478881
143,Shivam+Sharma[LAT],717201
144,Deepak+Hooda[LAT],497121
145,Chama+Milind,604616
146,Shardul+Thakur,475281
147,Tanmay+Mishra,24790
148,Sayan+Sekhar+Mondal,433356
149,Karanveer+Singh,322535
150,Milind+Kumar,451947
