List    Sr. No.,fname,sname,Specialism,Reserve Price Rs Lakh
1,Faiz,Fazal,Batsman,30
2,Martin,Guptill,Batsman,50
3,Alex,Hales,Batsman,100
4,Eoin,Morgan,Batsman,200
5,Jason,Roy,Batsman,100
6,Ross,Taylor,Batsman,50
7,Saurabh,Tiwary,Batsman,30
8,Sean,Abbott,All-rounder,30
9,Corey,Anderson,All-rounder,100
10,Chris,Jordan,All-rounder,50
11,Angelo,Mathews,All-rounder,200
12,Pawan,Negi,All-rounder,30
13,Irfan,Pathan,All-rounder,50
14,Benjamin,Stokes,All-rounder,200
15,Jonny,Bairstow,Wk/Batsman,150
16,Dinesh,Chandimal,Wk/Batsman,50
17,Johnson,Charles,Wk/Batsman,30
18,Ben,Dunk,Wk/Batsman,30
19,Andre,Fletcher,Wk/Batsman,30
20,Nicholas,Pooran,Wk/Batsman,30
21,Kyle,Abbott,Bowler,150
22,Trent,Boult,Bowler,150
23,Nathan,Coulter-Nile,Bowler,100
24,Patrick,Cummins,Bowler,200
25,Mitchell,Johnson,Bowler,200
26,Tymal Solomon,Mills,Bowler,50
27,Kagiso,Rabada,Bowler,100
28,Ishant,Sharma,Bowler,200
29,George Bradley,Hogg,Bowler,50
30,Pragyan,Ojha,Bowler,30
31,Lakshan,Sandakan,Bowler,30
32,Inderbir Singh,Sodhi,Bowler,30
33,Muhammad Imran,Tahir,Bowler,50
34,Tanmay,Agarwal,Batsman,10
35,Ankeet,Bawane,Batsman,10
36,Unmukt,Chand,Batsman,30
37,Michael,Klinger,Batsman,30
38,Umang,Sharma,Batsman,10
39,Prithvi,Shaw,Batsman,10
40,Mohamad Asghar,Stanikzai,Batsman,20
,,,,
41,Shivam,Dube,All-rounder,10
42,Praveen,Dubey,All-rounder,10
43,Gowtham,K.,All-rounder,10
44,Rush B,Kalaria,All-rounder,10
45,Mahipal,Lomror,All-rounder,10
46,Mohammad,Nabi,All-rounder,30
47,Aksh Deep,Nath,All-rounder,10
48,Priyank,Panchal,All-rounder,10
49,Manan,Sharma,All-rounder,10
50,Rahul,Tewatia,All-rounder,10
,,,,
51,Mohit,Ahlawat,Wk/Batsman,10
52,Manvinder,Bisla,Wk/Batsman,10
53,Eklavya,Dwivedi,Wk/Batsman,30
54,Shreevats,Goswami,Wk/Batsman,10
55,Mohammad Shahzad,Mohammadi,Wk/Batsman,50
56,Aditya,Tare,Wk/Batsman,20
57,Vishnu,Vinod,Wk/Batsman,10
,,,,
58,Abu Nechim,Ahmed,Bowler,10
59,Aniket,Choudhary,Bowler,10
60,T.,Natarajan,Bowler,10
61,Umar,Nazir,Bowler,10
62,Navdeep,Saini,Bowler,10
63,Nathu,Singh,Bowler,30
64,Pawan,Suyal,Bowler,10
65,Basil,Thampy,Bowler,10
,,,,
66,Tejas Singh,Baroka,Bowler,10
67,M.,Ashwin,Bowler,10
68,Mayank,Dagar,Bowler,10
69,Rashid,Khan Arman,Bowler,50
70,Sarabjeet,Singh (Ladda),Bowler,10
71,Mitchell,Swepson,Bowler,30
72,Pravin,Tambe,Bowler,10
73,Akshay,Wakhare,Bowler,10
,,,,
74,Subramaniam,Badrinath,Batsman,30
75,Darren,Bravo,Batsman,50
76,Evin,Lewis,Batsman,50
77,Nic,Maddinson,Batsman,50
78,Abhinav,Mukund,Batsman,30
79,Cheteshwar,Pujara,Batsman,50
80,Marlon,Samuels,Batsman,100
81,Manoj,Tiwari,Batsman,50
,,,,
82,Farhaan,Behardien,All-rounder,30
83,Rishi,Dhawan,All-rounder,30
84,Jason,Holder,All-rounder,150
85,Thisara,Perera,All-rounder,50
86,Parveez,Rasool,All-rounder,30
87,Karn,Sharma,All-rounder,30
88,David,Wiese,All-rounder,30
89,Chris,Woakes,All-rounder,200
,,,,
90,Anamul Haque,Bijoy,Wk/Batsman,30
91,Niroshan,Dickwella,Wk/Batsman,30
92,Shane,Dorwich,Wk/Batsman,30
93,Brad,Haddin,Wk/Batsman,150
94,Kusal,Janith Perera,Wk/Batsman,50
,,,,
95,Varun,Aaron,Bowler,30
96,Manpreet,Gony,Bowler,30
97,Matt,Henry,Bowler,50
98,Ben,Laughlin,Bowler,30
99,Pankaj,Singh,Bowler,30
100,Rudra Pratap,Singh,Bowler,30
101,Billy,Stanlake,Bowler,30
102,Jaydev,Unadkat,Bowler,30
,,,,
103,Fawad,Ahmed,Bowler,30
104,Michael,Beer,Bowler,30
105,Akila,Dananjaya,Bowler,30
106,Nathan,Lyon,Bowler,150
107,Rahul,Sharma,Bowler,30
,,,,
108,Shishir,Bhavane,Batsman,10
109,Rajesh,Bishnoi SR.,Batsman,10
110,Pramod,Chandila,Batsman,10
111,Paras,Dogra,Batsman,10
112,Aditya,Garhwal,Batsman,10
113,Amandeep,Khare,Batsman,10
114,Samarth,R.,Batsman,10
115,Himanshu,Rana,Batsman,10
116,D'Arcy,Short,Batsman,10
117,Apoorv Vijay,Wankhade,Batsman,10
,,,,
118,Akash,Bhandari,All-rounder,10
119,Rujul Haren,Bhatt,All-rounder,10
120,Jay Gokul,Bista,All-rounder,10
121,Aamir,Gani,All-rounder,10
122,Akhil Arvind,Herwadkar,All-rounder,10
123,Pankaj,Jaswal,All-rounder,10
124,Kishore Pramod,Kamath,All-rounder,10
125,Ashok,Menaria,All-rounder,10
126,A. Ashish,Reddy,All-rounder,10
127,Rajagopal,Sathish,All-rounder,20
,,,,
128,Gautam,C.M.,Wk/Batsman,10
129,K. B. Arun,Karthik,Wk/Batsman,10
130,Gitansh,Khera,Wk/Batsman,10
131,Mahesh,Rawat,Wk/Batsman,10
132,Nitin,Saini,Wk/Batsman,20
133,Dishant,Yagnik,Wk/Batsman,20
,,,,
134,Rishi,Arothe,Bowler,10
