,date,runs,balls
0,2010-01-22,105,88
1,2010-01-24,55,58
2,2010-01-26,28,31
3,2010-01-29,44,63
4,2010-01-31,13,20
5,2010-02-07,22,35
6,2010-02-09, , 
7,2010-02-12,17,41
8,2010-02-14,63,78
9,2010-02-19,22,33
10,2010-03-03,33,49
11,2010-03-06,54,60
12,2010-03-09,25,36
13,2010-03-11,50,57
14,2010-03-13,6,21
15,2010-06-17,42,54
16,2010-06-19,106,120
17,2010-06-22,10,19
18,2010-06-24,86,98
19,2010-06-27,12,23
20,2010-06-30,17,16
21,2010-07-03,20,31
22,2010-10-08,34,34
23,2010-10-20,89,49
24,2010-11-03,0,1
25,2010-11-05,35,43
26,2010-11-07, , 
27,2010-11-24,14,14
28,2010-12-04,4,15
29,2010-12-15,72,70
30,2010-12-23,3,4
