,date,runs,balls
0,2010-01-13,29,50
1,2010-01-15,11,23
2,2010-01-17,125,100
3,2010-01-22,35,42
4,2010-01-29,16,21
5,2010-05-05,127,118
6,2010-05-06,29,27
7,2010-05-09,22,32
8,2010-05-11,1,7
9,2010-05-14,41,49
10,2010-08-24,85,111
11,2010-08-29,2,6
12,2010-08-31,2,10
13,2010-09-04,45,30
14,2010-09-06,36,49
15,2010-10-15,124,126
16,2010-10-17, , 
17,2010-10-22,20,8
18,2010-10-29,12,17
19,2010-10-31,100,119
20,2010-11-02,4,8
21,2010-11-05,27,25
22,2010-11-08,1,4
23,2010-11-12,92,101
24,2010-11-14,15,37
25,2010-11-17,22,25
26,2010-11-19,73,90
