,date,runs,balls
0,2010-01-27,58,70
1,2010-02-13,112,108
2,2010-02-17,14,22
3,2010-02-28,6,9
4,2010-05-16,54,73
5,2010-05-22,16,21
6,2010-05-23,12,14
7,2010-05-30,90,92
8,2010-05-31,70,84
9,2010-07-04,0,2
10,2010-07-07,3,5
11,2010-07-10,46,52
12,2010-07-31,7,11
13,2010-08-01,0,2
14,2010-08-08,0,5
15,2010-08-21,43,43
16,2010-08-22,4,9
17,2010-08-29,3,12
18,2010-08-30,123,90
19,2010-10-06,10,17
20,2010-10-17,50,32
21,2010-10-22,16,28
22,2010-10-30, , 
23,2010-11-06,51,58
24,2010-12-01,19,20
25,2010-12-04,29,48
26,2010-12-22,79,87
