,date,runs,balls
0,2010-01-13,55,51
1,2010-02-06,16,25
2,2010-02-09,45,58
3,2010-02-11,0,5
4,2010-02-14,18,38
5,2010-02-16,10,15
6,2010-02-19,6,9
7,2010-02-21,76,79
8,2010-06-15,42,63
9,2010-06-18,52,69
10,2010-06-22,73,82
11,2010-06-24,17,38
12,2010-08-13,48,62
13,2010-08-16,2,12
14,2010-08-19,40,59
15,2010-08-22,13,15
16,2010-08-28,71,62
17,2010-10-22,110,95
18,2010-11-03,49,46
19,2010-11-05,45,52
20,2010-11-07,0,4
21,2010-12-27,11,17
22,2010-12-30,27,39
23,2010-12-31,4,8
24,2011-01-02,20,33
25,2011-01-04,133,140
26,2011-01-06,26,37
