,date,runs,balls
0,2010-01-22,35,37
1,2010-01-24,29,34
2,2010-01-26,49,28
3,2010-01-29,67,75
4,2010-01-31,40,46
5,2010-02-07,28,25
6,2010-02-09, , 
7,2010-02-12,44,53
8,2010-02-14,23,17
9,2010-03-03,59,59
10,2010-03-06,56,63
11,2010-03-09,9,15
12,2010-03-11,28,17
13,2010-03-13,46,55
14,2010-06-17,8,17
15,2010-06-19,72,99
16,2010-06-22,28,38
17,2010-06-24,14,27
18,2010-06-27,21,21
19,2010-06-30,1,1
20,2010-07-03,79,60
21,2010-10-20,69,77
22,2010-11-03,71,91
23,2010-11-05,15,19
24,2010-11-07,6,26
