,date,runs,balls
0,2010-01-11, , 
1,2010-01-13,38,64
2,2010-02-11,3,9
3,2010-02-13,6,14
4,2010-02-14,16,22
5,2010-02-16,19,37
6,2010-02-21,22,20
7,2010-02-24, , 
8,2010-02-27,36,35
9,2010-03-08,42,18
10,2010-03-09,7,8
11,2010-05-28,61,61
12,2010-05-30, , 
13,2010-06-03,51,72
14,2010-06-05,19,26
15,2010-06-16, , 
16,2010-06-19,6,9
17,2010-06-22,0,1
18,2010-06-24,25,27
19,2010-08-10,20,44
20,2010-08-16, , 
21,2010-08-22,0,9
22,2010-08-25,17,26
23,2010-10-08,58,63
24,2010-10-10,9,8
25,2010-10-11,14,18
26,2010-12-04, , 
