,date,runs,balls
0,2010-01-11,85,97
1,2010-02-05,8,15
2,2010-02-08,0,8
3,2010-02-11,36,48
4,2010-02-28,12,28
5,2010-03-02,14,13
6,2010-03-05,38,38
7,2010-06-16,7,7
8,2010-06-18,20,26
9,2010-06-21,25,24
10,2010-07-05,38,32
11,2010-07-08,20,36
12,2010-07-10,1,3
13,2010-07-12,6,19
14,2010-07-15,50,78
15,2010-07-16,33,38
16,2010-07-20,15,20
17,2010-07-25,72,61
18,2010-08-22,0,1
19,2010-08-29,19,21
20,2010-08-30,91,69
21,2010-09-04,5,5
22,2010-10-05,58,51
23,2010-10-11,13,7
24,2010-10-14,106,113
25,2010-10-17,36,47
26,2010-10-29, , 
27,2010-11-08,18,17
28,2010-11-10,35,33
29,2010-11-12,5,12
30,2010-12-01,63,65
31,2010-12-03,9,7
32,2010-12-06,73,91
33,2010-12-12,11,20
