,date,runs,balls
0,2010-01-13,38,21
1,2010-01-16,0,1
2,2010-01-19,1,2
3,2010-03-12,5,9
4,2010-03-14,50,43
5,2010-03-19,53,38
6,2010-03-21,35,24
7,2010-03-26,22,14
8,2010-03-28,1,6
9,2010-04-01,45,37
10,2010-04-03,21,18
11,2010-04-05,15,20
12,2010-04-08,53,24
13,2010-04-10,27,22
14,2010-04-12,19,20
15,2010-04-16,4,6
16,2010-04-18,54,30
17,2010-04-22,23,22
18,2010-04-24,2,8
19,2010-06-08,1,2
20,2010-06-10,7,8
21,2010-06-12,6,11
22,2010-06-13,26,21
23,2010-06-17, , 
24,2010-06-18,62,32
25,2010-06-20,1,2
26,2010-06-22,63,34
27,2010-06-23,31,16
28,2010-06-25,17,10
29,2010-07-04,4,6
30,2010-07-08,19,13
31,2010-07-09,22,16
32,2010-07-11, , 
33,2010-07-18,4,3
