,date,runs,balls
0,2010-02-24,32,21
1,2010-02-25,24,19
2,2010-02-27,19,18
3,2010-02-28,11,9
4,2010-03-04,60,44
5,2010-03-12,65,46
6,2010-03-14, , 
7,2010-03-16,6,13
8,2010-03-20,0,0
9,2010-03-22,3,3
10,2010-03-27,19,11
11,2010-03-29,24,18
12,2010-04-01,4,4
13,2010-04-04,17,11
14,2010-04-07,46,28
15,2010-04-10,1,2
16,2010-04-13,48,48
17,2010-04-17, , 
18,2010-04-19, , 
19,2010-04-30,3,6
20,2010-05-03,4,6
21,2010-05-07, , 
22,2010-05-09,8,4
23,2010-05-11,46,37
24,2010-05-13,58,45
25,2010-05-22,27,31
26,2010-05-23,0,4
27,2010-10-31, , 
