,date,runs,balls
0,2010-01-15, , 
1,2010-01-19,17,17
2,2010-02-05,4,8
3,2010-02-21,15,20
4,2010-02-23, , 
5,2010-02-26,11,9
6,2010-02-28,64,26
7,2010-03-31,21,13
8,2010-04-02,6,3
9,2010-04-04,4,11
10,2010-04-08,13,3
11,2010-04-10, , 
12,2010-04-12,4,3
13,2010-04-24, , 
14,2010-05-02,9,7
15,2010-05-05,8,11
16,2010-05-07,5,6
17,2010-05-09,85,49
18,2010-05-11,0,0
19,2010-05-14,43,31
20,2010-05-16,30,19
21,2010-07-05,17,13
22,2010-07-06,7,8
23,2010-09-12, , 
24,2010-09-17,25,29
25,2010-09-19,7,8
26,2010-09-21,19,12
27,2010-09-24,13,10
28,2010-10-31,8,10
29,2011-01-02,23,15
30,2011-01-08,43,31
