,date,runs,balls
0,2010-01-15, , 
1,2010-01-19,60,39
2,2010-01-23,15,14
3,2010-02-05,40,31
4,2010-02-21,1,3
5,2010-02-23, , 
6,2010-02-26,46,36
7,2010-02-28,10,6
8,2010-03-27,3,5
9,2010-03-29,29,32
10,2010-04-01,31,27
11,2010-04-04,11,5
12,2010-04-13,0,3
13,2010-04-19,20,14
14,2010-05-02,53,29
15,2010-05-05,9,13
16,2010-05-07,35,22
17,2010-05-09,0,1
18,2010-05-11,10,9
19,2010-05-14,13,9
20,2010-05-16,59,54
21,2010-06-10,15,12
22,2010-06-11,11,8
23,2010-06-13,34,25
24,2010-06-15,44,32
25,2010-06-16,81,42
26,2010-06-17,65,34
27,2010-06-20,20,8
28,2010-06-22,2,11
29,2010-06-24,10,9
30,2010-06-25,47,35
31,2010-06-27,56,38
32,2010-07-05,34,28
33,2010-07-06,33,27
34,2010-07-11,41,32
35,2010-07-14,9,11
36,2010-07-15,9,13
37,2010-07-17,37,24
38,2010-07-26,16,14
39,2010-08-14,27,21
40,2010-09-13,29,27
41,2010-09-15,18,17
42,2010-09-18,51,45
43,2010-09-20,47,28
44,2010-10-31,7,10
45,2010-12-05,17,10
46,2011-01-02,42,23
47,2011-01-08,10,6
