,date,runs,balls
0,2010-01-13,9,5
1,2010-01-17,54,21
2,2010-02-05,24,14
3,2010-02-21,49,32
4,2010-02-23,67,29
5,2010-02-26,19,10
6,2010-02-28,20,10
7,2010-03-19,6,8
8,2010-03-21,57,33
9,2010-03-25,33,14
10,2010-03-29,107,69
11,2010-03-31,4,8
12,2010-04-04,33,22
13,2010-04-07,0,5
14,2010-04-11,6,11
15,2010-04-13,31,15
16,2010-04-15,0,2
17,2010-04-18,5,4
18,2010-05-02,26,18
19,2010-05-05,16,11
20,2010-05-07,72,42
21,2010-05-09,9,12
22,2010-05-11,25,12
23,2010-05-14,0,2
24,2010-05-16,2,4
25,2010-06-11,17,14
26,2010-06-13,25,15
27,2010-06-15,13,15
28,2010-06-17,15,12
29,2010-06-24,29,18
30,2010-06-26,24,28
31,2010-06-27,17,12
32,2010-07-02,28,23
33,2010-07-05,41,31
34,2010-07-06,1,3
35,2010-07-08,1,3
36,2010-07-10,18,17
37,2010-07-11,1,5
38,2010-07-16,43,30
39,2010-07-18,37,20
40,2010-10-31,2,8
41,2010-12-08,4,6
42,2010-12-17,52,35
43,2011-01-04,73,58
44,2011-01-09,51,34
