,date,runs,balls
0,2010-01-15,9,7
1,2010-03-17,9,4
2,2010-03-20,1,2
3,2010-03-22, , 
4,2010-03-25,11,7
5,2010-03-28,23,16
6,2010-03-30,8,4
7,2010-04-03,2,8
8,2010-04-06,2,3
9,2010-04-13, , 
10,2010-04-19,5,9
11,2010-04-30,18,10
12,2010-05-03, , 
13,2010-05-07,23,23
14,2010-05-09,1,2
15,2010-05-11,6,9
16,2010-05-19,20,22
17,2010-05-20,40,42
18,2010-07-22, , 
19,2010-07-24,33,33
20,2010-07-28,28,19
21,2010-07-30,55,20
22,2010-07-31, , 
23,2010-08-14,5,8
24,2010-09-14,22,12
25,2010-09-16, , 
26,2010-09-19,29,17
27,2011-01-02,1,2
28,2011-01-08,8,9
