,date,runs,balls
0,2010-03-12,55,47
1,2010-03-14,65,52
2,2010-03-16,89,55
3,2010-03-18,44,34
4,2010-03-20,66,55
5,2010-03-23,19,17
6,2010-03-25,27,29
7,2010-03-31,52,49
8,2010-04-02,9,10
9,2010-04-04,54,42
10,2010-04-08,68,44
11,2010-04-10,8,11
12,2010-04-12,27,37
13,2010-04-14,0,3
14,2010-04-17,14,15
15,2010-04-21,11,9
16,2010-04-24,19,32
17,2010-05-02,73,54
18,2010-05-05,34,33
19,2010-05-06,31,26
20,2010-05-08,11,13
21,2010-05-10,22,21
22,2010-05-19,53,45
23,2010-09-12,43,32
24,2010-09-19,15,14
