,date,runs,balls
0,2010-01-13,3,3
1,2010-01-15,20,17
2,2010-01-22,31,19
3,2010-01-24,1,6
4,2010-01-26,26,19
5,2010-02-03, , 
6,2010-02-26,43,42
7,2010-02-28,7,8
8,2010-06-04,42,30
9,2010-06-08,41,29
10,2010-06-11,26,25
11,2010-06-13,6,4
12,2010-06-16,90,50
13,2010-06-18,8,8
14,2010-06-19,5,14
15,2010-06-23,11,16
16,2010-06-25,46,29
17,2010-06-27,22,18
18,2010-07-02,29,26
19,2010-07-04,40,33
20,2010-07-11,51,37
21,2010-07-16,20,17
22,2010-07-18,33,25
23,2010-12-14,12,9
24,2010-12-21,5,10
25,2010-12-23,36,28
26,2010-12-26,19,17
27,2010-12-28,40,43
28,2010-12-30,3,8
