,date,runs,balls
0,2010-02-24,29,17
1,2010-02-25,4,6
2,2010-02-27,51,29
3,2010-02-28,28,31
4,2010-03-06,2,5
5,2010-03-13,17,9
6,2010-03-16, , 
7,2010-03-19,0,3
8,2010-03-21,15,16
9,2010-03-24,29,13
10,2010-03-27,30,27
11,2010-04-02,45,27
12,2010-04-04,38,22
13,2010-04-07,9,7
14,2010-04-09,56,42
15,2010-04-11,33,30
16,2010-04-16,52,37
17,2010-04-18,33,24
18,2010-04-30,4,11
19,2010-05-03,3,7
20,2010-05-07,68,49
21,2010-05-09,2,3
22,2010-05-11,46,33
23,2010-05-13,16,19
24,2010-05-22,17,25
25,2010-05-23,5,11
26,2010-10-31,44,43
