,date,runs,balls
0,2010-02-24,64,31
1,2010-02-25,14,13
2,2010-02-27,59,40
3,2010-03-04,7,9
4,2010-03-06,58,32
5,2010-03-07,91,49
6,2010-03-13,0,1
7,2010-03-16,26,13
8,2010-03-19,14,9
9,2010-03-21,3,5
10,2010-03-24,23,22
11,2010-03-27,16,15
12,2010-03-30,20,18
13,2010-04-04,110,59
14,2010-04-07,44,33
15,2010-04-09,31,18
16,2010-04-11,38,35
17,2010-04-16,93,62
18,2010-04-18,21,8
19,2010-04-30,81,51
20,2010-05-03,100,64
21,2010-05-07,98,56
22,2010-05-09,9,6
23,2010-05-11,4,3
24,2010-05-13,10,9
25,2010-05-22,0,2
26,2010-05-23,17,12
27,2010-09-11,0,2
28,2010-09-15,10,7
29,2010-09-20,51,40
30,2010-09-22,20,17
31,2010-10-31,24,16
