,date,runs,balls
0,2010-02-12,0,1
1,2010-02-14,13,14
2,2010-02-16,6,11
3,2010-02-17,58,35
4,2010-03-18,10,18
5,2010-03-20,0,1
6,2010-03-24,41,30
7,2010-03-26,45,32
8,2010-03-28,30,16
9,2010-03-31,0,2
10,2010-04-03,37,26
11,2010-04-05,15,10
12,2010-04-07,83,43
13,2010-04-11,8,6
14,2010-04-14,9,8
15,2010-05-03,28,18
16,2010-05-04,14,11
17,2010-05-06,25,13
18,2010-05-08,3,4
19,2010-05-10,32,21
20,2010-05-13,33,26
21,2010-05-16,2,4
22,2010-06-03,0,1
23,2010-06-08,1,3
24,2010-06-11,4,9
25,2010-06-13,18,15
26,2010-06-18,6,7
27,2010-06-19,6,6
28,2010-06-22,11,11
29,2010-06-25,21,13
30,2010-06-27,4,4
31,2010-07-01,5,12
32,2011-01-02,6,5
33,2011-01-07,2,3
