,date,runs,balls
0,2010-03-12, , 
1,2010-03-14, , 
2,2010-03-16,21,20
3,2010-03-20, , 
4,2010-03-22, , 
5,2010-03-29,1,2
6,2010-04-01, , 
7,2010-04-04, , 
8,2010-04-17, , 
9,2010-04-19, , 
10,2010-06-01,1,2
11,2010-06-09, , 
12,2010-06-11, , 
13,2010-06-12, , 
14,2010-06-16,1,1
15,2010-06-18, , 
16,2010-06-20, , 
17,2010-06-25, , 
18,2010-06-28, , 
19,2010-07-02,16,19
20,2010-07-04, , 
21,2010-07-09, , 
22,2010-07-11, , 
23,2010-07-14, , 
24,2010-07-27, , 
25,2010-08-14, , 
26,2010-08-14, , 
27,2010-10-20,0,0
28,2010-10-21,12,9
29,2010-10-22,13,10
30,2010-10-25,28,20
