,date,runs,balls
0,2010-01-12,5,3
1,2010-01-15,0,1
2,2010-01-22,6,1
3,2010-01-24,2,9
4,2010-01-26,61,35
5,2010-02-03, , 
6,2010-02-26,1,2
7,2010-02-28,14,9
8,2010-04-30,16,6
9,2010-05-04, , 
10,2010-05-06,26,17
11,2010-05-08,12,9
12,2010-05-10,3,5
13,2010-05-22,9,12
14,2010-05-23,36,39
15,2010-06-13, , 
16,2010-06-15,26,18
17,2010-06-17,11,12
18,2010-06-20,2,7
19,2010-06-22,32,19
20,2010-06-25,0,1
21,2010-07-04,14,15
22,2010-07-05,9,6
23,2010-07-09,14,10
24,2010-07-11,18,13
25,2010-07-14, , 
26,2010-07-15,6,7
27,2010-07-18,23,17
28,2010-12-15,14,11
29,2010-12-18, , 
30,2010-12-26, , 
31,2010-12-28,1,3
32,2010-12-30,8,10
