,date,runs,balls
0,2010-01-13,11,14
1,2010-01-15,29,26
2,2010-01-22,27,19
3,2010-01-24,25,19
4,2010-01-26,25,19
5,2010-03-12,58,46
6,2010-03-14,2,5
7,2010-03-16,5,4
8,2010-03-20,19,17
9,2010-03-22,31,23
10,2010-06-03,22,23
11,2010-06-09,24,31
12,2010-06-11,11,12
13,2010-06-13,35,20
14,2010-06-15,30,26
15,2010-06-17,44,52
16,2010-06-24,4,9
17,2010-06-26, , 
18,2010-06-27,17,20
19,2010-07-02,34,31
20,2010-07-04,26,15
21,2010-07-08,32,31
22,2010-07-10,80,52
23,2010-07-11,27,19
24,2010-07-16,15,22
25,2010-07-18,20,19
