,date,runs,balls
0,2010-03-14,20,17
1,2010-03-16,51,21
2,2010-03-18, , 
3,2010-03-20,23,15
4,2010-03-23,68,38
5,2010-03-25,15,10
6,2010-03-31,21,13
7,2010-04-02,22,8
8,2010-04-04,12,9
9,2010-04-08,2,5
10,2010-04-10,50,22
11,2010-04-12,34,20
12,2010-04-14,26,21
13,2010-04-17,4,6
14,2010-04-21,26,13
15,2010-04-24, , 
16,2010-09-12,25,8
17,2010-09-17,0,2
18,2010-09-19,6,5
19,2010-09-21,7,5
20,2010-09-24,4,7
21,2010-10-14,53,30
22,2010-10-15,14,9
23,2010-10-16,38,26
24,2010-10-18,12,11
25,2010-10-19,30,24
