,date,runs,balls
0,2010-01-13,53,27
1,2010-01-15,11,6
2,2010-01-17,31,27
3,2010-01-19,4,5
4,2010-01-22,9,6
5,2010-01-24,23,24
6,2010-01-26,28,12
7,2010-01-31,80,30
8,2010-02-03, , 
9,2010-02-26,9,9
10,2010-02-28,6,9
11,2010-04-04,22,10
12,2010-04-08,1,2
13,2010-04-10,14,6
14,2010-04-12,1,5
15,2010-04-14,10,11
16,2010-04-17,9,11
17,2010-04-21,31,30
18,2010-04-30,9,15
19,2010-05-04, , 
20,2010-05-06,19,16
21,2010-05-08,3,7
22,2010-05-10,44,33
23,2010-05-22,27,30
24,2010-05-23,5,5
25,2010-06-04,1,3
26,2010-06-06, , 
27,2010-06-10,31,16
28,2010-06-11,64,28
29,2010-06-13, , 
30,2010-06-14,80,33
31,2010-06-18,49,35
32,2010-06-20,33,27
33,2010-06-22,8,6
34,2010-06-25,25,17
35,2010-06-26,24,17
36,2010-09-12, , 
37,2010-09-17,46,28
38,2010-09-19,9,11
39,2010-09-21,5,7
40,2010-09-24,4,3
41,2010-12-23,35,29
42,2010-12-26,39,31
43,2010-12-28,30,21
44,2010-12-30,0,3
45,2011-01-02,44,42
