,date,runs,balls
0,2010-02-09,17,14
1,2010-02-10,0,3
2,2010-02-11,21,15
3,2010-02-12,24,20
4,2010-02-13,32,20
5,2010-06-02,98,47
6,2010-06-10,10,10
7,2010-06-11,37,21
8,2010-06-13,102,54
9,2010-06-16,48,31
10,2010-08-14,1,4
11,2010-11-13,19,13
12,2010-11-14,1,6
13,2010-11-16,17,30
14,2010-11-17,3,6
15,2010-11-20,26,47
16,2010-11-21,0,1
17,2010-12-05,41,39
18,2010-12-10,36,32
19,2010-12-12,51,41
20,2010-12-15,45,25
21,2010-12-17,35,29
22,2010-12-19,15,14
23,2010-12-21,35,30
24,2010-12-23,12,8
25,2010-12-29,14,15
26,2010-12-30,12,9
27,2011-01-07,1,3
