,date,runs,balls
0,2010-01-13,40,21
1,2010-01-15,54,44
2,2010-01-17,11,8
3,2010-01-22,59,38
4,2010-01-24,15,9
5,2010-01-26,4,5
6,2010-01-31,0,3
7,2010-04-30,17,21
8,2010-05-04, , 
9,2010-05-06,13,12
10,2010-05-08,21,17
11,2010-05-10,31,19
12,2010-05-22,10,12
13,2010-06-10,17,18
14,2010-06-11,13,18
15,2010-06-13,12,8
16,2010-06-16,27,18
17,2010-06-19, , 
18,2010-06-23,41,21
19,2010-06-25,106,50
20,2010-06-27, , 
21,2010-06-29,13,10
22,2010-07-04,29,20
23,2010-07-09,25,13
24,2010-07-11,6,6
25,2010-07-15,9,4
26,2010-07-16,52,26
27,2010-07-18,42,30
28,2010-12-17,7,4
29,2010-12-21,9,15
30,2010-12-23,19,26
31,2010-12-26,7,8
32,2010-12-28,34,14
33,2010-12-30,45,34
