,date,runs,balls
0,2010-01-12,0,4
1,2010-01-17,1,8
2,2010-01-23,6,11
3,2010-02-05,1,2
4,2010-02-21, , 
5,2010-02-23, , 
6,2010-02-26, , 
7,2010-02-28, , 
8,2010-03-13, , 
9,2010-03-15, , 
10,2010-03-20, , 
11,2010-03-24, , 
12,2010-03-26, , 
13,2010-03-28,1,1
14,2010-03-31,11,12
15,2010-04-03, , 
16,2010-05-02,0,2
17,2010-05-05, , 
18,2010-05-07, , 
19,2010-05-09, , 
20,2010-05-11, , 
21,2010-05-14, , 
22,2010-05-16, , 
23,2010-06-04, , 
24,2010-06-08, , 
25,2010-06-11, , 
26,2010-06-13, , 
27,2010-06-15,5,5
28,2010-06-19,1,1
29,2010-06-23, , 
30,2010-07-05,6,3
31,2010-07-06,2,4
32,2010-07-11, , 
33,2010-07-14, , 
34,2010-07-16, , 
35,2010-09-12, , 
36,2010-09-14, , 
37,2010-09-17, , 
38,2010-09-25, , 
39,2011-01-04,0,1
40,2011-01-08, , 
