,date,runs,balls
0,2010-03-14,5,12
1,2010-03-16,43,33
2,2010-03-19,14,15
3,2010-03-21,2,2
4,2010-03-23,31,17
5,2010-03-25,55,45
6,2010-03-28,25,27
7,2010-03-31,7,6
8,2010-04-03,4,1
9,2010-04-06,30,22
10,2010-04-10,6,6
11,2010-04-13, , 
12,2010-04-15,30,29
13,2010-04-18,53,36
14,2010-04-22,37,41
15,2010-04-25,14,11
16,2010-09-11,52,42
17,2010-09-15, , 
18,2010-09-18,1,2
19,2010-09-22,2,6
20,2010-09-24, , 
21,2010-09-26, , 
22,2010-10-14,21,17
23,2010-10-15,27,26
24,2010-10-16,51,40
25,2010-10-18,7,6
26,2010-10-19,0,1
