,date,runs,balls
0,2010-03-13,100,37
1,2010-03-15,0,5
2,2010-03-18,26,24
3,2010-03-20,15,14
4,2010-03-24,28,19
5,2010-03-26,73,34
6,2010-03-28,8,6
7,2010-03-31,24,14
8,2010-04-03,4,2
9,2010-04-05,5,7
10,2010-04-07,21,13
11,2010-04-11,10,8
12,2010-04-14,11,9
13,2010-04-17,8,9
14,2010-05-01, , 
15,2010-05-02,11,7
16,2010-05-07,1,5
17,2010-05-09,17,10
18,2010-05-11,13,9
19,2010-06-12,37,24
20,2010-06-13,4,7
21,2010-10-20,2,9
22,2010-10-22,89,42
23,2010-10-24,17,12
24,2010-10-25,2,5
25,2011-01-09,6,8
