,date,runs,balls
0,2011-02-06,79,91
1,2011-02-24,73,82
2,2011-02-28,30,38
3,2011-03-04,9,26
4,2011-03-11,0,3
5,2011-03-17,5,15
6,2011-03-20,22,29
7,2011-03-23,0,3
8,2011-04-23,67,109
9,2011-04-25,12,18
10,2011-04-28,47,77
11,2011-05-02,21,26
12,2011-05-05, , 
13,2011-06-06,4,8
14,2011-06-13,15,36
15,2011-06-16,86,99
16,2011-08-12,25,27
17,2011-08-15,7,9
18,2011-08-29,62,62
19,2011-10-07,47,74
20,2011-10-13,20,19
21,2011-10-15,1,12
22,2011-10-18,0,3
23,2011-11-29,60,74
24,2011-12-02,13,17
25,2011-12-05,26,41
