,date,runs,balls
0,2011-02-06,44,51
1,2011-02-20,100,81
2,2011-02-26,2,10
3,2011-03-01, , 
4,2011-03-05,23,25
5,2011-03-10,9,7
6,2011-03-18,66,90
7,2011-03-26, , 
8,2011-03-29,1,3
9,2011-04-02,103,88
10,2011-06-22,18,22
11,2011-06-28,5,11
12,2011-07-01,144,150
13,2011-07-03,79,77
14,2011-07-06,9,12
15,2011-07-09,9,15
16,2011-07-13,64,64
17,2011-08-10,3,8
18,2011-08-14,17,30
19,2011-08-16,36,33
20,2011-08-20,53,102
21,2011-08-22,71,119
22,2011-11-11,24,57
23,2011-11-14,50,57
24,2011-11-18,17,26
25,2011-11-20,55,87
26,2012-01-11,2,16
27,2012-01-14,19,26
28,2012-01-17,15,19
