,date,runs,balls
0,2011-02-10,59,81
1,2011-02-11,32,23
2,2011-02-13,46,60
3,2011-02-16,55,82
4,2011-02-22,24,28
5,2011-02-25,58,57
6,2011-02-27,42,45
7,2011-03-01,0,4
8,2011-03-07,90,100
9,2011-03-09,2,4
10,2011-06-06,13,15
11,2011-06-08,56,64
12,2011-06-11,46,56
13,2011-06-13,26,32
14,2011-06-16,6,11
15,2011-08-25,55,65
16,2011-09-03,95,107
17,2011-09-06,28,18
18,2011-09-09,3,19
19,2011-09-11,27,32
20,2011-09-16,19,39
21,2011-10-14,9,10
22,2011-10-17,12,17
23,2011-10-20,38,46
24,2011-10-23,8,20
25,2011-11-29,12,13
26,2011-12-02,2,6
27,2011-12-05,39,35
28,2011-12-08,3,3
29,2011-12-11,0,1
