,date,runs,balls
0,2011-04-09,45,32
1,2011-04-13,0,1
2,2011-04-15,81,60
3,2011-04-18,47,33
4,2011-04-20,23,19
5,2011-04-27,0,4
6,2011-04-30,7,7
7,2011-05-02,37,19
8,2011-05-05,1,8
9,2011-05-08,22,16
10,2011-05-13,32,27
11,2011-05-15,29,12
12,2011-05-18,33,37
13,2011-10-15,81,46
14,2011-10-17,64,37
15,2011-12-16,5,12
16,2011-12-18,79,63
17,2011-12-20,36,25
18,2011-12-27,21,12
19,2011-12-29,32,26
20,2011-12-31,36,20
21,2012-01-02,7,7
22,2012-01-06,26,18
23,2012-01-13,33,25
24,2012-01-15,35,32
25,2012-01-17,6,7
26,2012-01-19,103,54
