,date,runs,balls
0,2011-04-09, , 
1,2011-04-13, , 
2,2011-04-20, , 
3,2011-04-24,5,8
4,2011-05-18, , 
5,2011-06-02, , 
6,2011-06-03,1,1
7,2011-06-05,1,1
8,2011-06-10, , 
9,2011-06-11, , 
10,2011-06-15,0,1
11,2011-06-24,3,5
12,2011-06-26, , 
13,2011-07-01,8,4
14,2011-07-03,0,2
15,2011-07-06, , 
16,2011-07-08,0,2
17,2011-07-10,1,2
18,2011-07-13, , 
19,2011-07-15,0,1
20,2011-07-21, , 
21,2011-07-23, , 
22,2011-07-24, , 
23,2011-07-30,1,1
24,2011-12-18, , 
25,2011-12-27,1,1
26,2011-12-28, , 
27,2011-12-31, , 
28,2012-01-04, , 
