,date,runs,balls
0,2012-02-05, , 
1,2012-02-10,25,25
2,2012-02-12,3,3
3,2012-02-17,3,15
4,2012-02-26,1,2
5,2012-03-02,6,8
6,2012-03-06, , 
7,2012-03-08,28,32
8,2012-03-16,0,0
9,2012-03-18,6,7
10,2012-03-20,0,2
11,2012-03-23,2,12
12,2012-03-25,0,2
13,2012-06-21,0,1
14,2012-06-26,1,3
15,2012-06-29,2,6
16,2012-07-01, , 
17,2012-07-07,6,11
18,2012-07-10,5,3
19,2012-10-28, , 
20,2012-11-07, , 
21,2013-01-11, , 
22,2013-01-13,4,11
23,2013-01-18,0,8
24,2013-01-20,2,11
25,2013-01-23, , 
26,2013-02-01, , 
