,date,runs,balls
0,2012-03-02, , 
1,2012-03-07, , 
2,2012-03-09, , 
3,2012-03-11, , 
4,2012-03-14, , 
5,2012-03-16, , 
6,2012-03-21, , 
7,2012-06-13, , 
8,2012-06-14, , 
9,2012-06-22,1,1
10,2012-06-30, , 
11,2012-07-02, , 
12,2012-07-03, , 
13,2012-07-05,1,1
14,2012-07-06, , 
15,2012-07-08, , 
16,2012-08-17,1,2
17,2012-08-19,3,2
18,2012-10-14, , 
19,2012-10-16, , 
20,2012-10-18,1,2
21,2012-10-20, , 
22,2012-10-25, , 
23,2012-10-28,0,0
24,2012-11-30, , 
25,2012-12-08, , 
26,2012-12-14, , 
27,2012-12-20,0,0
28,2012-12-23,3,2
29,2012-12-28,0,1
30,2012-12-30, , 
31,2013-01-04,0,0
32,2013-01-08,0,0
33,2013-01-20, , 
34,2013-01-23, , 
35,2013-01-25, , 
36,2013-01-28, , 
37,2013-01-31, , 
