,date,runs,balls
0,2012-04-05,3,7
1,2012-04-07,3,4
2,2012-06-18,15,10
3,2012-06-22,14,11
4,2012-06-24,66,32
5,2012-06-27,1,2
6,2012-06-29,60,24
7,2012-06-30,22,21
8,2012-07-02, , 
9,2012-07-06, , 
10,2012-07-25,1,2
11,2012-09-05,4,7
12,2012-09-10,27,20
13,2012-09-19, , 
14,2012-09-22, , 
15,2012-09-28,4,6
16,2012-09-30, , 
17,2012-10-02,4,5
18,2012-10-10,11,7
19,2012-10-11,42,29
20,2012-12-12, , 
21,2012-12-15,19,12
22,2012-12-21,82,50
23,2012-12-27,11,5
24,2013-01-03,13,9
25,2013-01-06,3,7
26,2013-01-08,17,12
27,2013-01-26, , 
28,2013-01-28,8,3
