,date,runs,balls
0,2012-02-23,23,22
1,2012-02-25,0,2
2,2012-02-27,0,1
3,2012-02-28,24,18
4,2012-06-01,0,1
5,2012-06-03,24,34
6,2012-08-17,1,4
7,2012-08-19,23,23
8,2012-08-20, , 
9,2012-08-24,34,31
10,2012-09-05,17,15
11,2012-09-07,45,42
12,2012-09-10,9,5
13,2012-09-23,43,38
14,2012-09-25,45,47
15,2012-09-28,15,9
16,2012-09-30,15,28
17,2012-10-02,4,5
18,2012-10-04,42,40
19,2012-12-01,53,43
20,2012-12-02, , 
21,2012-12-03, , 
22,2012-12-04, , 
23,2012-12-05,19,25
24,2012-12-07,50,39
25,2012-12-08,65,36
26,2012-12-09,22,22
27,2012-12-25,61,44
28,2012-12-28,55,26
