,date,runs,balls
0,2012-02-15,3,2
1,2012-02-17,14,8
2,2012-02-19, , 
3,2012-02-22,2,7
4,2012-03-09,5,4
5,2012-03-14,15,23
6,2012-03-16,38,26
7,2012-03-18,41,38
8,2012-03-21,7,17
9,2012-03-30, , 
10,2012-04-06, , 
11,2012-04-08, , 
12,2012-04-11,2,3
13,2012-04-13,6,7
14,2012-04-15, , 
15,2012-04-17,14,9
16,2012-05-05,14,8
17,2012-05-08, , 
18,2012-05-10,12,20
19,2012-05-13,7,3
20,2012-05-18,3,4
21,2012-09-08, , 
22,2012-09-10, , 
23,2012-09-12, , 
24,2012-09-20, , 
25,2012-09-22, , 
26,2012-09-28, , 
27,2012-09-30, , 
28,2012-10-02,8,5
29,2012-12-09,5,4
30,2012-12-13,18,10
31,2012-12-20,7,5
32,2012-12-23, , 
33,2012-12-27, , 
34,2013-01-02,31,31
35,2013-01-05,12,3
36,2013-01-10,17,18
