,date,runs,balls
0,2012-03-30,61,42
1,2012-04-05,4,4
2,2012-04-08,5,8
3,2012-04-10,22,23
4,2012-04-13,31,38
5,2012-04-15,1,5
6,2012-04-18,30,23
7,2012-04-22,23,24
8,2012-04-28,41,27
9,2012-04-30,26,31
10,2012-05-05,1,4
11,2012-05-07,30,27
12,2012-05-12,79,60
13,2012-05-14,4,9
14,2012-05-16,0,1
15,2012-05-19,13,18
16,2012-05-22,30,33
17,2012-05-27,69,49
18,2012-09-08,48,44
19,2012-09-10,13,7
20,2012-09-12,8,5
21,2012-09-20, , 
22,2012-09-22, , 
23,2012-09-28,12,18
24,2012-09-30,6,7
25,2012-10-02,6,8
26,2012-10-13,0,2
27,2012-10-15,0,2
28,2012-10-17, , 
29,2012-10-21,18,20
