,date,runs,balls
0,2013-02-16,80,92
1,2013-02-18,0,1
2,2013-02-22,57,83
3,2013-02-25,109,117
4,2013-02-27,7,14
5,2013-08-06,62,67
6,2013-08-08,22,26
7,2013-08-10,119,129
8,2013-08-11,27,45
9,2013-08-14,20,19
10,2013-09-03,148,114
11,2013-09-08,45,45
12,2013-09-11, , 
13,2013-09-14,0,1
14,2013-09-16,26,32
15,2013-10-01,2,13
16,2013-10-04,5,4
17,2013-10-13,72,79
18,2013-10-16,50,53
19,2013-10-19,38,44
20,2013-10-23,5,10
21,2013-10-30,20,28
22,2013-11-02,5,5
23,2014-01-12,121,128
24,2014-01-17,0,3
25,2014-01-19,22,20
26,2014-01-24,108,111
27,2014-01-26,7,16
