,date,runs,balls
0,2013-02-14,70,80
1,2013-02-15,90,87
2,2013-02-17,84,87
3,2013-02-18,73,55
4,2013-02-20,119,119
5,2013-03-10,33,35
6,2013-03-12,45,66
7,2013-06-06,14,15
8,2013-06-11,51,54
9,2013-06-15,11,15
10,2013-06-20, , 
11,2013-06-23,6,11
12,2013-06-30,23,56
13,2013-07-02,22,41
14,2013-07-05,6,7
15,2013-07-09,12,18
16,2013-07-11,23,37
17,2013-07-24,8,15
18,2013-07-26,69,74
19,2013-07-28, , 
20,2013-08-01, , 
21,2013-08-03,10,19
22,2013-08-08,10,14
23,2013-08-09,18,9
24,2013-08-11,6,10
25,2013-08-12,18,12
26,2013-08-14,73,75
