,date,runs,balls
0,2013-02-14,26,24
1,2013-02-18,23,8
2,2013-02-21,0,3
3,2013-02-22, , 
4,2013-02-28, , 
5,2013-03-02,2,6
6,2013-03-10,6,11
7,2013-07-02,0,1
8,2013-07-24, , 
9,2013-07-26,6,1
10,2013-07-28, , 
11,2013-08-01, , 
12,2013-08-03, , 
13,2013-08-08,1,3
14,2013-08-09, , 
15,2013-08-11,14,9
16,2013-08-14,3,5
17,2013-10-23, , 
18,2013-10-30, , 
19,2013-11-02, , 
20,2013-11-21, , 
21,2013-11-24, , 
22,2013-11-27, , 
23,2013-12-05,0,4
24,2013-12-08,8,14
25,2013-12-11, , 
26,2014-01-19,7,4
27,2014-01-22,1,1
28,2014-01-25,2,7
29,2014-01-28, , 
30,2014-01-31,14,15
