,date,runs,balls
0,2013-04-11,64,53
1,2013-04-13,0,1
2,2013-04-15,67,45
3,2013-04-17,16,13
4,2013-04-21,64,42
5,2013-04-23,18,15
6,2013-04-28,37,33
7,2013-04-30,15,9
8,2013-05-02,15,11
9,2013-05-05,45,32
10,2013-05-09,5,5
11,2013-05-11,10,11
12,2013-05-15,48,32
13,2013-05-19,52,34
14,2013-08-29,156,63
15,2013-08-31,5,5
16,2013-10-10,89,52
17,2013-12-20,32,26
18,2013-12-26,15,12
19,2013-12-30,81,51
20,2014-01-01,50,31
21,2014-01-04,84,55
22,2014-01-14,0,2
23,2014-01-29,52,31
24,2014-01-31,10,11
25,2014-02-02,30,21
