,date,runs,balls
0,2013-02-20,3,2
1,2013-02-22,46,17
2,2013-02-28,9,6
3,2013-03-06,48,25
4,2013-03-08,14,12
5,2013-03-12,3,4
6,2013-03-19,40,22
7,2013-03-22,15,15
8,2013-03-26, , 
9,2013-04-03,9,8
10,2013-04-07,16,13
11,2013-04-15,13,11
12,2013-04-18, , 
13,2013-04-20, , 
14,2013-04-30, , 
15,2013-05-02,23,16
16,2013-05-14, , 
17,2013-05-21, , 
18,2013-05-26,10,10
19,2013-06-28,1,4
20,2013-06-29,7,8
21,2013-07-02,15,12
22,2013-07-05,9,14
23,2013-07-12,3,6
24,2013-07-14,51,31
25,2013-07-21,25,18
26,2013-07-30,0,3
27,2013-08-04,0,0
28,2013-08-06,0,3
29,2013-08-08,8,7
30,2013-08-10,0,4
31,2013-08-15,1,1
32,2013-08-17,7,7
33,2013-09-22,4,2
34,2013-09-26, , 
35,2013-09-28, , 
36,2013-10-02,4,16
37,2014-01-05,3,7
38,2014-01-09,22,21
39,2014-01-15,49,25
40,2014-01-17,8,9
41,2014-01-19,66,32
42,2014-01-22,1,8
43,2014-01-24, , 
44,2014-01-26,18,16
45,2014-01-29,34,38
46,2014-02-05,1,2
