,date,runs,balls
0,2013-03-17,5,16
1,2013-03-18,5,8
2,2013-03-19,1,16
3,2013-03-21,4,5
4,2013-03-22,12,11
5,2013-04-05, , 
6,2013-04-07,0,0
7,2013-04-09, , 
8,2013-04-12,16,14
9,2013-04-14,1,1
10,2013-04-17,30,24
11,2013-04-19, , 
12,2013-04-25,15,21
13,2013-04-27,21,28
14,2013-05-01, , 
15,2013-05-04, , 
16,2013-05-08,6,8
17,2013-05-11, , 
18,2013-05-13, , 
19,2013-05-17,0,0
20,2013-05-19, , 
21,2013-05-22, , 
22,2013-09-17, , 
23,2013-09-18, , 
24,2013-09-20, , 
25,2013-09-24, , 
26,2013-09-26, , 
27,2013-09-28, , 
