,date,runs,balls
0,2013-03-02, , 
1,2013-03-03,0,1
2,2013-04-03,4,8
3,2013-04-06,7,6
4,2013-04-21, , 
5,2013-06-18, , 
6,2013-06-19,8,10
7,2013-06-28,1,2
8,2013-06-30,12,4
9,2013-07-07,18,14
10,2013-07-12,47,21
11,2013-07-14,21,16
12,2013-07-21,44,31
13,2013-07-23,15,11
14,2013-07-26,5,10
15,2013-07-27,77,42
16,2013-08-02,3,4
17,2013-08-04,42,23
18,2013-08-07,2,3
19,2013-08-10,47,19
20,2013-08-15,14,11
21,2013-08-17,27,17
22,2013-08-18,6,6
23,2013-08-23,29,6
24,2013-08-24,33,18
25,2013-09-21,12,5
26,2014-01-11,0,2
27,2014-01-15,10,7
