,date,runs,balls
0,2013-02-14,19,12
1,2013-04-06,5,7
2,2013-04-08,46,31
3,2013-04-11,22,19
4,2013-04-14,15,16
5,2013-04-17,27,15
6,2013-04-20,13,17
7,2013-04-22,9,6
8,2013-04-27, , 
9,2013-04-29,32,18
10,2013-05-05,4,5
11,2013-05-07, , 
12,2013-05-09, , 
13,2013-05-12,0,1
14,2013-05-15,39,27
15,2013-05-17,8,7
16,2013-05-22,54,29
17,2013-05-24,19,20
18,2013-09-21, , 
19,2013-09-25,46,23
20,2013-09-29, , 
21,2013-10-01,52,23
22,2013-10-04,11,9
23,2013-12-20,30,19
24,2013-12-29,0,2
25,2014-01-01,64,36
26,2014-01-04, , 
27,2014-01-09, , 
28,2014-01-11,1,4
29,2014-01-21,12,26
30,2014-01-27,61,43
31,2014-01-31, , 
32,2014-02-02,7,7
33,2014-02-04,51,35
