,date,runs,balls
0,2013-03-17, , 
1,2013-03-18, , 
2,2013-03-19,37,25
3,2013-03-21,44,19
4,2013-03-22,8,10
5,2013-04-04,60,37
6,2013-04-06,37,25
7,2013-04-09,86,48
8,2013-04-13,41,29
9,2013-04-17,30,32
10,2013-04-21,2,6
11,2013-04-24,7,6
12,2013-04-27,43,33
13,2013-04-29,25,19
14,2013-05-01,0,2
15,2013-05-05,23,23
16,2013-05-07,34,18
17,2013-05-11,17,25
18,2013-05-13,30,23
19,2013-05-15,21,21
20,2013-05-18,0,3
21,2013-05-21,11,18
22,2013-05-24,22,17
23,2013-05-26,21,26
24,2013-09-21,2,11
25,2013-09-27,13,19
26,2013-10-02, , 
27,2013-10-05,33,22
28,2013-10-06,15,5
