,date,runs,balls
0,2013-02-16,0,3
1,2013-02-17,0,1
2,2013-04-06,2,2
3,2013-04-08,0,2
4,2013-04-11, , 
5,2013-04-14, , 
6,2013-04-17, , 
7,2013-04-22, , 
8,2013-04-27, , 
9,2013-05-05, , 
10,2013-05-09, , 
11,2013-05-12, , 
12,2013-05-15,7,4
13,2013-05-17,26,12
14,2013-05-22, , 
15,2013-05-24,4,2
16,2013-06-18, , 
17,2013-06-19, , 
18,2013-07-31,0,0
19,2013-08-03,0,2
20,2013-08-07,8,3
21,2013-08-09, , 
22,2013-08-11,1,2
23,2013-08-17, , 
24,2013-08-18,14,14
25,2013-08-22,27,17
26,2013-09-21, , 
27,2013-09-25, , 
28,2013-09-29, , 
29,2013-10-01,8,4
30,2013-10-04,14,7
31,2013-10-06,4,2
