,date,runs,balls
0,2013-03-17,18,15
1,2013-03-18,11,10
2,2013-03-19,16,16
3,2013-03-21,27,19
4,2013-03-22,14,8
5,2013-03-26,11,13
6,2013-03-27,46,33
7,2013-03-28,15,18
8,2013-03-30,0,2
9,2013-03-31,5,6
10,2013-04-07,31,26
11,2013-04-10,9,10
12,2013-04-14,2,8
13,2013-04-16,41,30
14,2013-04-19,10,11
15,2013-04-21,77,58
16,2013-04-23,24,15
17,2013-04-26,25,20
18,2013-04-29,9,8
19,2013-05-02,15,15
20,2013-05-06,16,12
21,2013-05-09,0,3
22,2013-05-11,0,2
23,2013-05-14, , 
24,2013-05-16, , 
25,2013-05-18,1,5
