,date,runs,balls
0,2013-04-06,20,23
1,2013-04-10,86,54
2,2013-04-13,6,16
3,2013-04-18,65,50
4,2013-04-20,40,51
5,2013-04-22,88,51
6,2013-04-25,45,26
7,2013-04-28,95,59
8,2013-04-30,5,8
9,2013-05-02,35,29
10,2013-05-05,22,26
11,2013-05-08,67,42
12,2013-05-12,40,40
13,2013-05-14,26,26
14,2013-05-18,6,5
15,2013-05-21,86,58
16,2013-05-26,1,2
17,2013-09-22,47,26
18,2013-09-26,23,21
19,2013-09-28,57,48
20,2013-10-02,1,2
21,2013-10-04,9,11
22,2013-12-21,2,7
23,2013-12-27,85,56
24,2014-01-01,66,48
25,2014-01-03,13,20
26,2014-01-08,60,37
27,2014-01-11,2,5
28,2014-01-14,9,6
29,2014-01-25,21,18
