,date,runs,balls
0,2013-03-22, , 
1,2013-03-26, , 
2,2013-04-03, , 
3,2013-04-07,0,1
4,2013-04-09,23,9
5,2013-04-12,0,1
6,2013-04-16, , 
7,2013-04-18,2,4
8,2013-04-28, , 
9,2013-05-01, , 
10,2013-05-07, , 
11,2013-05-10,19,10
12,2013-05-16,13,4
13,2013-05-19,0,1
14,2013-08-02, , 
15,2013-08-04, , 
16,2013-08-06, , 
17,2013-09-22, , 
18,2013-09-24,0,1
19,2013-09-28, , 
20,2013-09-30, , 
21,2013-11-20,8,5
22,2013-11-22, , 
23,2014-01-15, , 
24,2014-01-17,3,3
25,2014-01-19,3,7
26,2014-01-22, , 
27,2014-01-24, , 
28,2014-01-26, , 
29,2014-01-29,2,2
30,2014-02-02, , 
